region,final_energy,technology,supply_MWh
BSN,수소,수소,376027.39727712004
BSN,열,열,12477515.574527998
CBD,수소,수소,210575.34246816006
CBD,열,열,7029205.479432001
CND,수소,수소,300821.91778656
CND,열,열,7943319.058175999
DGU,수소,수소,310849.3150344
DGU,열,열,7863131.9688479975
DJN,수소,수소,180493.15072464
DJN,열,열,5538588.7557312
GBD,수소,수소,290794.52053872
GBD,열,열,9148371.554736
GGD,수소,수소,952602.7398624002
GGD,열,열,10544137.120655997
GND,수소,수소,360986.30136144004
GND,열,열,11533432.107743999
GWD,수소,수소,190520.54797248
GWD,열,열,4843008.262684802
GWJ,수소,수소,205561.64380032007
GWJ,열,열,6454675.7259552
ICN,수소,수소,396082.1917728002
ICN,열,열,12028512.78864
JBD,수소,수소,235643.83563168003
JBD,열,열,6297927.451617602
JJD,수소,수소,65178.082190015986
JJD,열,열,2175945.20568
JND,수소,수소,240657.53421168
JND,열,열,6935702.005094402
SEL,수소,수소,551506.84933392
SEL,열,열,18175403.568672
SJN,수소,수소,55150.68493339198
USN,수소,수소,290794.52053872
USN,열,열,9696493.154735997
