지역,발전량(GWh),재생에너지(GWh),부하량(GWh),밸런스(GWh),재생에너지비율(%)
SEL,19829.085912742383,539.9994947364623,78493.92548047012,-58664.83956772774,2.723269731709886
ICN,44214.1166333807,2399.9977543842283,56374.27749398305,-12160.16086060235,5.4281255334914515
GGD,71268.66008566252,4257.6980098047525,135574.94728167175,-64306.287196009216,5.974151898867109
GWD,40032.436571503764,6147.397185327412,27116.994926106985,12915.44164539678,15.356040530651352
CBD,16158.739730894566,4368.846908994405,29974.054238796714,-13815.314507902149,27.03705228101066
CND,128476.69460765929,6389.611020343362,42815.78002741749,85660.9145802418,4.973361931403891
DJN,7813.705064349916,899.9991578940765,25683.4515755726,-17869.746511222682,11.518212557066288
SJG,0.0,0.0,0.0,0.0,0.0
JBD,20647.661368169807,9528.842080920525,33537.857824368664,-12890.196456198857,46.149740210337214
JND,79992.47843531358,12541.604214125498,34254.62950398241,45737.84893133117,15.678479351364699
GWJ,9070.396059813012,1399.9986900574934,29257.282559095118,-20186.886499282107,15.434813219020056
GBD,121277.04083207919,8749.692756804461,41382.23668039671,79894.80415168247,7.21463246198374
DGU,16476.971375109024,2039.9980912266265,44239.29598167027,-27762.324606561244,12.380904504746269
GND,76331.90848047637,4065.7831840598733,51376.93054733897,24954.977933137394,5.3264529408429375
BSN,54476.48857553835,1488.8496037332322,53517.21818392855,959.2703916098028,2.7330131634104116
USN,35736.41395509577,1119.9989520459724,41382.23668039671,-5645.822725300938,3.1340552341186108
JJD,4050.559560989785,1806.976273119769,9277.92220220557,-5227.362641215784,44.6105345671851
