발전기명,총발전량(MWh)
CND_Coal,108248932.53295189
GBD_Nuclear,100137600.0
GND_Coal,57821812.13019035
GGD_LNG_Fallback_Gen,53081712.0
JND_Nuclear,51825600.0
BSN_Nuclear,39967200.0
ICN_Coal,26315123.898583665
USN_Nuclear,24595200.0
GWD_Coal,20437894.575519066
SEL_H_Fallback_Gen,18175403.568672
BSN_H_Fallback_Gen,12477515.574527998
ICN_H_Fallback_Gen,12028512.78864
GND_H_Fallback_Gen,11533432.107743999
JND_PV,11119989.59531367
GGD_H_Fallback_Gen,10544137.120655997
USN_H_Fallback_Gen,9696493.154735997
JBD_PV,9439991.167244786
GBD_H_Fallback_Gen,9148371.554736
CND_H_Fallback_Gen,7943319.058175999
DGU_H_Fallback_Gen,7863131.9688479975
