선로명,시작버스,종료버스,평균조류(MW),용량(MVA),이용률(%)
GWD_GGD1,GWD_EL,GGD_EL,1988.7894136095767,10000.0,19.887894136095767
GWD_GGD2,GWD_EL,GGD_EL,1988.7894136095767,10000.0,19.887894136095767
GWD_GGD3,GWD_EL,GGD_EL,1988.7894136095767,10000.0,19.887894136095767
GWD_GBD1,GWD_EL,GBD_EL,-354.0319848806558,10000.0,3.5403198488065577
GWD_GBD2,GWD_EL,GBD_EL,-354.0319848806558,10000.0,3.5403198488065577
GWD_GBD3,GWD_EL,GBD_EL,-354.0319848806558,10000.0,3.5403198488065577
GWD_CBD1,GWD_EL,CBD_EL,806.0775574891974,10000.0,8.060775574891974
GWD_CBD2,GWD_EL,CBD_EL,806.0775574891974,10000.0,8.060775574891974
GGD_SEL1,GGD_EL,SEL_EL,3710.2992407068505,10000.0,37.102992407068506
GGD_SEL2,GGD_EL,SEL_EL,3710.2992407068505,10000.0,37.102992407068506
GGD_ICN,GGD_EL,ICN_EL,737.3456772543622,10000.0,7.373456772543621
GGD_ICN1,GGD_EL,ICN_EL,737.3456772543622,10000.0,7.373456772543621
GGD_ICN2,GGD_EL,ICN_EL,737.3456772543622,10000.0,7.373456772543621
GGD_CND1,GGD_EL,CND_EL,-2952.064015225128,10000.0,29.520640152251282
GGD_CND2,GGD_EL,CND_EL,-2952.064015225128,10000.0,29.520640152251282
GGD_CND3,GGD_EL,CND_EL,-2952.064015225128,10000.0,29.520640152251282
GGD_CBD1,GGD_EL,CBD_EL,-1964.1813372907916,10000.0,19.641813372907915
GGD_CBD2,GGD_EL,CBD_EL,-1964.1813372907916,10000.0,19.641813372907915
GGD_CBD3,GGD_EL,CBD_EL,-1964.1813372907916,10000.0,19.641813372907915
GND_GBD1,GND_EL,GBD_EL,-307.85137415738495,10000.0,3.0785137415738495
GND_GBD2,GND_EL,GBD_EL,-307.85137415738495,10000.0,3.0785137415738495
GND_GBD3,GND_EL,GBD_EL,-307.85137415738495,10000.0,3.0785137415738495
GND_DGU1,GND_EL,DGU_EL,738.0643595737143,10000.0,7.380643595737143
GND_DGU2,GND_EL,DGU_EL,738.0643595737143,10000.0,7.380643595737143
GND_BSN1,GND_EL,BSN_EL,-22.366990484763328,10000.0,0.22366990484763327
GND_BSN2,GND_EL,BSN_EL,-22.366990484763328,10000.0,0.22366990484763327
GND_BSN3,GND_EL,BSN_EL,-22.366990484763328,10000.0,0.22366990484763327
GND_USN1,GND_EL,USN_EL,-9.39877261231314,10000.0,0.0939877261231314
GND_USN2,GND_EL,USN_EL,-9.39877261231314,10000.0,0.0939877261231314
GND_USN3,GND_EL,USN_EL,-9.39877261231314,10000.0,0.0939877261231314
GND_JND1,GND_EL,JND_EL,91.6821495973154,10000.0,0.916821495973154
GND_JND2,GND_EL,JND_EL,91.6821495973154,10000.0,0.916821495973154
GND_JBD2,GND_EL,JBD_EL,719.3177314835555,10000.0,7.1931773148355544
GBD_DGU1,GBD_EL,DGU_EL,1041.1846416365895,10000.0,10.411846416365895
GBD_DGU2,GBD_EL,DGU_EL,1041.1846416365895,10000.0,10.411846416365895
GBD_BSN3,GBD_EL,BSN_EL,469.29307959867094,10000.0,4.692930795986709
GBD_USN1,GBD_EL,USN_EL,314.5755319097829,10000.0,3.145755319097829
GBD_USN2,GBD_EL,USN_EL,314.5755319097829,10000.0,3.145755319097829
GBD_USN3,GBD_EL,USN_EL,314.5755319097829,10000.0,3.145755319097829
GBD_CBD1,GBD_EL,CBD_EL,1660.7671204825283,10000.0,16.607671204825284
GBD_CBD2,GBD_EL,CBD_EL,1660.7671204825283,10000.0,16.607671204825284
GWJ_JND1,GWJ_EL,JND_EL,-1442.62573460468,10000.0,14.4262573460468
GWJ_JND2,GWJ_EL,JND_EL,-1442.62573460468,10000.0,14.4262573460468
GWJ_JBD1,GWJ_EL,JBD_EL,184.98027086791646,10000.0,1.8498027086791646
GWJ_JBD2,GWJ_EL,JBD_EL,184.98027086791643,10000.0,1.8498027086791644
DJN_SJN1,DJN_EL,SJN_EL,-365.8440550845597,10000.0,3.6584405508455973
DJN_SJN2,DJN_EL,SJN_EL,-365.8440550845597,10000.0,3.6584405508455973
DJN_CND1,DJN_EL,CND_EL,-806.1205646516075,10000.0,8.061205646516076
DJN_CND2,DJN_EL,CND_EL,-806.1205646516075,10000.0,8.061205646516076
DJN_CBD1,DJN_EL,CBD_EL,15.662368168209218,10000.0,0.15662368168209218
DJN_CBD2,DJN_EL,CBD_EL,15.662368168209218,10000.0,0.15662368168209218
BSN_USN1,BSN_EL,USN_EL,20.271430966538244,10000.0,0.20271430966538243
BSN_USN2,BSN_EL,USN_EL,20.271430966538244,10000.0,0.20271430966538243
BSN_USN3,BSN_EL,USN_EL,20.271430966538244,10000.0,0.20271430966538243
SJN_CND1,SJN_EL,CND_EL,-922.3529077249373,10000.0,9.223529077249374
SJN_CND3,SJN_EL,CND_EL,-922.3529077249373,10000.0,9.223529077249374
SJN_CBD1,SJN_EL,CBD_EL,136.15044905621838,10000.0,1.3615044905621838
SJN_CBD2,SJN_EL,CBD_EL,136.15044905621838,10000.0,1.3615044905621838
SJN_CBD3,SJN_EL,CBD_EL,136.15044905621838,10000.0,1.3615044905621838
JND_JBD1,JND_EL,JBD_EL,606.5177833836098,10000.0,6.065177833836097
JND_JBD2,JND_EL,JBD_EL,606.5177833836098,10000.0,6.065177833836097
JND_JJD1,JND_EL,JJD_EL,327.5955274062754,10000.0,3.2759552740627536
JND_JJD2,JND_EL,JJD_EL,327.5955274062754,10000.0,3.2759552740627536
JBD_CND1,JBD_EL,CND_EL,-85.97665434766567,10000.0,0.8597665434766567
JBD_CND2,JBD_EL,CND_EL,-85.97665434766567,10000.0,0.8597665434766567
JBD_CBD2,JBD_EL,CBD_EL,436.27067454271923,10000.0,4.362706745427192
CND_CBD1,CND_EL,CBD_EL,623.1432283964368,10000.0,6.231432283964368
CND_CBD2,CND_EL,CBD_EL,623.1432283964368,10000.0,6.231432283964368
CND_CBD3,CND_EL,CBD_EL,623.1432283964368,10000.0,6.231432283964368
