발전기명,총발전량(MWh)
CND_Coal,144553707.18474668
GBD_Nuclear,100137600.0
GWD_Coal,65302561.9463102
GGD_LNG_Fuel_Supply,53081712.0
JND_Nuclear,51825600.0
BSN_Nuclear,39967200.0
GND_Coal,33123943.49586592
USN_Nuclear,24595200.0
ICN_Coal,15072418.884165913
JND_PV,11119989.59531367
JBD_PV,9439991.167244786
GBD_PV,7179993.281866399
CND_PV,6359994.049118115
DGU_LNG_Fuel_Supply,6262992.0
CND_LNG_Fuel_Supply,5235264.0
SJN_LNG_Fuel_Supply,4778813.733795765
GWD_Hydro,4611600.0
CBD_Hydro,4550112.0
GWD_PV,4399995.883037877
CBD_PV,4279995.995318666
