선로명,시작버스,종료버스,평균조류(MW),용량(MVA),이용률(%)
GWD_GGD1,GWD_EL,GGD_EL,1557.7241823299667,10000.0,15.577241823299667
GWD_GGD2,GWD_EL,GGD_EL,1557.7241823299667,10000.0,15.577241823299667
GWD_GGD3,GWD_EL,GGD_EL,1557.7241823299667,10000.0,15.577241823299667
GWD_GBD1,GWD_EL,GBD_EL,-1341.9120007962938,10000.0,13.419120007962936
GWD_GBD2,GWD_EL,GBD_EL,-1341.9120007962938,10000.0,13.419120007962936
GWD_GBD3,GWD_EL,GBD_EL,-1341.9120007962938,10000.0,13.419120007962936
GWD_CBD1,GWD_EL,CBD_EL,-513.4339664835817,10000.0,5.134339664835816
GWD_CBD2,GWD_EL,CBD_EL,-513.4339664835817,10000.0,5.134339664835816
GGD_SEL1,GGD_EL,SEL_EL,3752.4734900870803,10000.0,37.524734900870804
GGD_SEL2,GGD_EL,SEL_EL,3752.4734900870803,10000.0,37.524734900870804
GGD_ICN,GGD_EL,ICN_EL,851.8357653078234,10000.0,8.518357653078235
GGD_ICN1,GGD_EL,ICN_EL,851.8357653078235,10000.0,8.518357653078235
GGD_ICN2,GGD_EL,ICN_EL,851.8357653078234,10000.0,8.518357653078235
GGD_CND1,GGD_EL,CND_EL,-2175.7515974986118,10000.0,21.75751597498612
GGD_CND2,GGD_EL,CND_EL,-2175.7515974986113,10000.0,21.757515974986113
GGD_CND3,GGD_EL,CND_EL,-2175.7515974986113,10000.0,21.757515974986113
GGD_CBD1,GGD_EL,CBD_EL,-3406.3496847757474,10000.0,34.06349684775748
GGD_CBD2,GGD_EL,CBD_EL,-3406.3496847757474,10000.0,34.06349684775748
GGD_CBD3,GGD_EL,CBD_EL,-3406.3496847757474,10000.0,34.06349684775748
GND_GBD1,GND_EL,GBD_EL,-179.67472255792947,10000.0,1.7967472255792947
GND_GBD2,GND_EL,GBD_EL,-179.67472255792947,10000.0,1.7967472255792947
GND_GBD3,GND_EL,GBD_EL,-179.67472255792947,10000.0,1.7967472255792947
GND_DGU1,GND_EL,DGU_EL,871.7349647638385,10000.0,8.717349647638386
GND_DGU2,GND_EL,DGU_EL,871.7349647638385,10000.0,8.717349647638386
GND_BSN1,GND_EL,BSN_EL,-1852.375334926706,10000.0,18.52375334926706
GND_BSN2,GND_EL,BSN_EL,-1852.375334926706,10000.0,18.52375334926706
GND_BSN3,GND_EL,BSN_EL,-1852.375334926706,10000.0,18.52375334926706
GND_USN1,GND_EL,USN_EL,-763.8257726042543,10000.0,7.638257726042544
GND_USN2,GND_EL,USN_EL,-763.8257726042543,10000.0,7.638257726042544
GND_USN3,GND_EL,USN_EL,-763.8257726042543,10000.0,7.638257726042544
GND_JND1,GND_EL,JND_EL,801.564739509721,10000.0,8.01564739509721
GND_JND2,GND_EL,JND_EL,801.564739509721,10000.0,8.01564739509721
GND_JBD2,GND_EL,JBD_EL,1541.5263389866338,10000.0,15.415263389866338
GBD_DGU1,GBD_EL,DGU_EL,922.4960184041745,10000.0,9.224960184041745
GBD_DGU2,GBD_EL,DGU_EL,922.4960184041745,10000.0,9.224960184041745
GBD_BSN3,GBD_EL,BSN_EL,-1565.422298167185,10000.0,15.65422298167185
GBD_USN1,GBD_EL,USN_EL,-405.6147992524763,10000.0,4.056147992524763
GBD_USN2,GBD_EL,USN_EL,-405.6147992524763,10000.0,4.056147992524763
GBD_USN3,GBD_EL,USN_EL,-405.6147992524763,10000.0,4.056147992524763
GBD_CBD1,GBD_EL,CBD_EL,1403.1548384674813,10000.0,14.031548384674814
GBD_CBD2,GBD_EL,CBD_EL,1403.1548384674813,10000.0,14.031548384674814
GWJ_JND1,GWJ_EL,JND_EL,-1403.804035506716,10000.0,14.03804035506716
GWJ_JND2,GWJ_EL,JND_EL,-1403.804035506716,10000.0,14.03804035506716
GWJ_JBD1,GWJ_EL,JBD_EL,132.2646845276342,10000.0,1.3226468452763418
