선로명,시작버스,종료버스,평균조류(MW),용량(MVA),이용률(%)
GWD_GGD1,GWD_EL,GGD_EL,2044.6269811903667,10000.0,20.446269811903665
GWD_GGD2,GWD_EL,GGD_EL,2044.6269811903667,10000.0,20.446269811903665
GWD_GGD3,GWD_EL,GGD_EL,2044.6269811903667,10000.0,20.446269811903665
GWD_GBD1,GWD_EL,GBD_EL,-447.3134926182467,10000.0,4.473134926182467
GWD_GBD2,GWD_EL,GBD_EL,-447.3134926182467,10000.0,4.473134926182467
GWD_GBD3,GWD_EL,GBD_EL,-447.3134926182467,10000.0,4.473134926182467
GWD_CBD1,GWD_EL,CBD_EL,822.1507116267043,10000.0,8.221507116267043
GWD_CBD2,GWD_EL,CBD_EL,822.1507116267043,10000.0,8.221507116267043
GGD_SEL1,GGD_EL,SEL_EL,3706.984366153383,10000.0,37.06984366153383
GGD_SEL2,GGD_EL,SEL_EL,3706.984366153383,10000.0,37.06984366153383
GGD_ICN,GGD_EL,ICN_EL,670.916053890358,10000.0,6.709160538903578
GGD_ICN1,GGD_EL,ICN_EL,670.9160538903582,10000.0,6.709160538903582
GGD_ICN2,GGD_EL,ICN_EL,670.916053890358,10000.0,6.709160538903578
GGD_CND1,GGD_EL,CND_EL,-2967.646626201604,10000.0,29.67646626201604
GGD_CND2,GGD_EL,CND_EL,-2967.6466262016033,10000.0,29.67646626201603
GGD_CND3,GGD_EL,CND_EL,-2967.6466262016033,10000.0,29.67646626201603
GGD_CBD1,GGD_EL,CBD_EL,-2030.0289908028064,10000.0,20.300289908028066
GGD_CBD2,GGD_EL,CBD_EL,-2030.0289908028064,10000.0,20.300289908028066
GGD_CBD3,GGD_EL,CBD_EL,-2030.0289908028064,10000.0,20.300289908028066
GND_GBD1,GND_EL,GBD_EL,-216.10079075158689,10000.0,2.161007907515869
GND_GBD2,GND_EL,GBD_EL,-216.10079075158689,10000.0,2.161007907515869
GND_GBD3,GND_EL,GBD_EL,-216.10079075158689,10000.0,2.161007907515869
GND_DGU1,GND_EL,DGU_EL,924.019308412805,10000.0,9.24019308412805
GND_DGU2,GND_EL,DGU_EL,924.019308412805,10000.0,9.24019308412805
GND_BSN1,GND_EL,BSN_EL,3.028780199584454,10000.0,0.030287801995844542
GND_BSN2,GND_EL,BSN_EL,3.028780199584454,10000.0,0.030287801995844542
GND_BSN3,GND_EL,BSN_EL,3.028780199584454,10000.0,0.030287801995844542
GND_USN1,GND_EL,USN_EL,16.582511969793572,10000.0,0.16582511969793573
GND_USN2,GND_EL,USN_EL,16.582511969793572,10000.0,0.16582511969793573
GND_USN3,GND_EL,USN_EL,16.582511969793572,10000.0,0.16582511969793573
GND_JND1,GND_EL,JND_EL,113.2321393382965,10000.0,1.132321393382965
GND_JND2,GND_EL,JND_EL,113.2321393382965,10000.0,1.132321393382965
GND_JBD2,GND_EL,JBD_EL,850.0085680452004,10000.0,8.500085680452003
GBD_DGU1,GBD_EL,DGU_EL,1020.6725768936388,10000.0,10.206725768936389
GBD_DGU2,GBD_EL,DGU_EL,1020.6725768936388,10000.0,10.206725768936389
GBD_BSN3,GBD_EL,BSN_EL,348.1567830120481,10000.0,3.481567830120481
GBD_USN1,GBD_EL,USN_EL,238.83136365948442,10000.0,2.388313636594844
GBD_USN2,GBD_EL,USN_EL,238.83136365948442,10000.0,2.388313636594844
GBD_USN3,GBD_EL,USN_EL,238.83136365948442,10000.0,2.388313636594844
GBD_CBD1,GBD_EL,CBD_EL,1829.2595432869223,10000.0,18.292595432869224
GBD_CBD2,GBD_EL,CBD_EL,1829.2595432869223,10000.0,18.292595432869224
GWJ_JND1,GWJ_EL,JND_EL,-1560.015707344471,10000.0,15.60015707344471
GWJ_JND2,GWJ_EL,JND_EL,-1560.015707344471,10000.0,15.60015707344471
GWJ_JBD1,GWJ_EL,JBD_EL,275.09825348593125,10000.0,2.7509825348593124
GWJ_JBD2,GWJ_EL,JBD_EL,275.09825348593114,10000.0,2.7509825348593115
DJN_SJN1,DJN_EL,SJN_EL,-371.47880066548316,10000.0,3.7147880066548318
DJN_SJN2,DJN_EL,SJN_EL,-371.47880066548316,10000.0,3.7147880066548318
DJN_CND1,DJN_EL,CND_EL,-769.9318144852616,10000.0,7.699318144852615
DJN_CND2,DJN_EL,CND_EL,-769.9318144852616,10000.0,7.699318144852615
DJN_CBD1,DJN_EL,CBD_EL,-18.29243013404896,10000.0,0.1829243013404896
DJN_CBD2,DJN_EL,CBD_EL,-18.29243013404896,10000.0,0.1829243013404896
BSN_USN1,BSN_EL,USN_EL,30.105144925270203,10000.0,0.301051449252702
BSN_USN2,BSN_EL,USN_EL,30.105144925270203,10000.0,0.301051449252702
BSN_USN3,BSN_EL,USN_EL,30.105144925270203,10000.0,0.301051449252702
SJN_CND1,SJN_EL,CND_EL,-873.2717173791489,10000.0,8.732717173791489
SJN_CND3,SJN_EL,CND_EL,-873.2717173791489,10000.0,8.732717173791489
SJN_CBD1,SJN_EL,CBD_EL,100.0010096191662,10000.0,1.0000100961916618
SJN_CBD2,SJN_EL,CBD_EL,100.0010096191662,10000.0,1.0000100961916618
SJN_CBD3,SJN_EL,CBD_EL,100.0010096191662,10000.0,1.0000100961916618
JND_JBD1,JND_EL,JBD_EL,710.6948685223908,10000.0,7.106948685223909
JND_JBD2,JND_EL,JBD_EL,710.6948685223908,10000.0,7.106948685223909
JND_JJD1,JND_EL,JJD_EL,304.30578499367243,10000.0,3.0430578499367242
JND_JJD2,JND_EL,JJD_EL,304.30578499367243,10000.0,3.0430578499367242
JBD_CND1,JBD_EL,CND_EL,102.27801518736928,10000.0,1.0227801518736928
JBD_CND2,JBD_EL,CND_EL,102.27801518736928,10000.0,1.0227801518736928
JBD_CBD2,JBD_EL,CBD_EL,581.5763291327829,10000.0,5.815763291327829
CND_CBD1,CND_EL,CBD_EL,571.8966516334302,10000.0,5.718966516334302
CND_CBD2,CND_EL,CBD_EL,571.8966516334302,10000.0,5.718966516334302
CND_CBD3,CND_EL,CBD_EL,571.8966516334302,10000.0,5.718966516334302
