발전기명,총발전량(MWh)
GBD_Nuclear,99864000.0
CBD_H2_Fallback_Gen,87600000.0
DJN_H_Fallback_Gen,60798913.0452156
JND_Nuclear,51684000.0
USN_Nuclear,49056000.0
BSN_Nuclear,39858000.0
BSN_H2_Fallback_Gen,34264307.58777385
BSN_H_Fallback_Gen,33161011.07930698
GND_H_Fallback_Gen,32436322.46666041
CBD_H_Fallback_Gen,32057608.69784401
DGU_H_Fallback_Gen,25695455.573748108
CND_H2_Fallback_Gen,22661413.0410192
CND_H_Fallback_Gen,21003260.8657392
GWD_H2_Fallback_Gen,13476278.7727906
GND_H2_Fallback_Gen,12292844.201007599
GGD_H_Fallback_Gen,10583514.494500803
ICN_H2_Fallback_Gen,9569309.690870078
GWJ_H2_Fallback_Gen,8198641.303950722
GBD_H_Fallback_Gen,7855541.995042479
GWD_H_Fallback_Gen,6995285.6300591035
