지역,발전량(GWh),재생에너지(GWh),부하량(GWh),밸런스(GWh),재생에너지비율(%)
SEL,652.7548442596741,7.917887729994269,854.6614122522827,-201.90656799260864,1.2129956291591202
ICN,11529.17981822338,22.309089910206858,30552.680958829435,-19023.501140606055,0.19350110122269426
GGD,19417.779899856258,283.9610579743352,26970.393487185378,-7552.61358732912,1.4623765406694986
GWD,25964.47857189726,892.0925771906616,26980.69062600482,-1016.212054107558,3.435819343417206
CBD,133415.9672546684,9220.678556824378,156971.41267931863,-23555.44542465025,6.911225655039978
CND,51423.135379827036,7179.080585563828,83459.67312245148,-32036.537742624445,13.96079903050823
DJN,66920.29581251451,43.780864198491415,93408.80383280976,-26488.508020295256,0.06542240088290842
SJG,0.0,0.0,0.0,0.0,0.0
JBD,1437.4761733127675,240.9453037671516,905.8360935125213,531.6400798002461,16.761690262446283
JND,53066.74667957651,474.1118933278129,1535.3101327152283,51531.43654686128,0.89342558757287
GWJ,10422.517643332962,2.771266715919396,18444.252391553324,-8021.734748220361,0.026589225470796972
GBD,115012.6824074224,333.86110461014664,52036.79285336713,62975.88955405527,0.2902819911872613
DGU,32691.759707647594,8.036702422064762,76827.0009576106,-44135.241249963,0.024583266529347253
GND,46175.03069525508,98.33783709366358,54626.73978007646,-8451.709084821381,0.21296756193335617
BSN,107370.57046188656,87.25179480572776,90645.27128275216,16725.2991791344,0.08126229974413669
USN,49530.63505877174,177.8053486361659,353.1240763167333,49177.510982455,0.35898055501446086
JJD,1050.3164938917766,569.2476532809885,798.3643590411614,251.95213485061518,54.19772578946505
