선로명,시작지역,종료지역,조류(MW),용량(MVA),이용률(%)
BSN_GND,부산광역시,경상남도,2114.8631340405736,5000.0,42.29726268081147
BSN_USN,부산광역시,울산광역시,-205.8858828347192,5000.0,4.117717656694384
DGU_GBD,대구광역시,경상북도,-2147.6162349746655,5000.0,42.95232469949331
DGU_GND,대구광역시,경상남도,-2914.1034351079625,5000.0,58.28206870215925
ICN_SEL,인천광역시,서울특별시,-722.6181405455344,5000.0,14.452362810910687
GWJ_JND,광주광역시,전라남도,-1795.0094320858614,5000.0,35.90018864171723
GWJ_JBD,광주광역시,전라북도,879.2862873125451,5000.0,17.5857257462509
DJN_SJN,대전광역시,SJN,-756.7162641574527,5000.0,15.134325283149053
GGD_SEL,경기도,서울특별시,745.6668355219244,5000.0,14.913336710438488
GGD_ICN,경기도,인천광역시,1468.2849760674585,5000.0,29.36569952134917
GGD_GWD,경기도,강원도,-2067.8590829520285,5000.0,41.35718165904057
CBD_GGD,충청북도,경기도,669.1767637360185,5000.0,13.383535274720371
CBD_GWD,충청북도,강원도,-1398.6823192160105,5000.0,27.97364638432021
CBD_GBD,충청북도,경상북도,-4982.204277326688,5000.0,99.64408554653376
CBD_CND,충청북도,충청남도,330.09029799987695,5000.0,6.601805959997539
CBD_DJN,충청북도,대전광역시,1298.6441626034534,5000.0,25.972883252069067
CBD_SJN,충청북도,SJN,541.9278984460009,5000.0,10.838557968920018
CND_GGD,충청남도,경기도,339.0864657361415,5000.0,6.78172931472283
CND_JBD,충청남도,전라북도,-4846.526644498659,5000.0,96.9305328899732
CND_SJN,충청남도,SJN,211.837600446124,5000.0,4.23675200892248
CND_DJN,충청남도,대전광역시,968.5538646035766,5000.0,19.371077292071533
JBD_JND,전라북도,전라남도,-2674.295719398406,5000.0,53.48591438796812
GBD_GWD,경상북도,강원도,3583.521958110676,5000.0,71.67043916221353
GBD_GND,경상북도,경상남도,-766.4872001332968,5000.0,15.329744002665938
GBD_USN,경상북도,울산광역시,-3087.23621700859,5000.0,61.7447243401718
GND_JBD,경상남도,전라북도,1232.2551309612013,5000.0,24.645102619224026
GND_JND,경상남도,전라남도,-1442.0405884372046,5000.0,28.84081176874409
GND_USN,경상남도,울산광역시,-2320.749016875293,5000.0,46.41498033750586
JJD_JND,제주특별자치도,전라남도,28.76165922952683,2000.0,1.4380829614763415
