지역,발전원,총발전량(MWh)
BSN,태양광,46208.326097372694
BSN,풍력,41043.46870835507
BSN,LNG,0.0
BSN,원자력,39858000.0
BSN,Unknown,33161011.07930698
CBD,태양광,2364417.993394798
CBD,풍력,6856260.563429579
CBD,Unknown,36595288.69784401
CND,태양광,468280.10512696655
CND,풍력,6710800.4804368615
CND,LNG,0.0
CND,Unknown,21283580.8657392
CND,석탄,299060.8875048083
DGU,태양광,8036.702422064762
DGU,Unknown,25695455.573748108
DJN,태양광,43780.864198491414
DJN,Unknown,60798913.0452156
GBD,태양광,50494.50975852891
GBD,풍력,283366.59485161776
GBD,LNG,0.0
GBD,원자력,99864000.0
GBD,Unknown,9423581.995042479
GBD,석탄,200.0
GGD,태양광,253418.10468350776
GGD,풍력,30542.953290827394
GGD,LNG,0.0
GGD,Unknown,12992514.494500803
GND,태양광,33784.68720615448
GND,풍력,64553.14988750909
GND,LNG,0.0
GND,Unknown,33706522.46666041
GND,석탄,77326.1904934062
GWD,태양광,139599.0089825616
GWD,풍력,752493.5682081
GWD,LNG,0.0
GWD,Unknown,11594285.630059104
GWD,석탄,1821.5918568945149
GWJ,태양광,2771.266715919396
GWJ,Unknown,2221105.0726663205
ICN,태양광,22309.089910206858
ICN,LNG,0.0
ICN,Unknown,1912753.2710827414
ICN,석탄,24807.76636035156
JBD,태양광,221059.8643050452
JBD,풍력,19885.439462106377
JBD,LNG,0.0
JBD,Unknown,889465.65217656
JJD,태양광,139435.33316098055
JJD,풍력,429812.320120008
JJD,LNG,0.0
JND,태양광,164687.10030162844
JND,풍력,309424.79302618443
JND,LNG,0.0
JND,원자력,51684000.0
JND,Unknown,701358.2608610879
JND,석탄,12801.887678896946
SEL,태양광,7917.887729994269
SEL,LNG,0.0
SEL,Unknown,404302.5362238479
SJN,태양광,92378.40920709446
SJN,Unknown,245652.17387702403
USN,태양광,177805.3486361659
USN,LNG,0.0
USN,원자력,49056000.0
BSN,수소,34264307.58777385
CBD,수소,87600000.0
CND,수소,22661413.0410192
DGU,수소,6988267.431477422
DJN,수소,6077601.903100418
GBD,수소,5391039.307769775
GGD,수소,6141304.347381121
GND,수소,12292844.201007599
GWD,수소,13476278.7727906
GWJ,수소,8198641.303950722
ICN,수소,9569309.690870078
JBD,수소,307065.21736905596
JJD,수소,296829.710135568
JJD,Unknown,184239.13047521995
JND,수소,194474.637708708
SEL,수소,240534.4203058319
SJN,수소,562952.8985697959
USN,수소,0.0
USN,Unknown,296829.710135568
