선로명,시작버스,종료버스,평균조류(MW),용량(MVA),이용률(%)
BSN_GND,BSN_EL,GND_EL,2114.8631340405736,5000.0,42.29726268081147
BSN_USN,BSN_EL,USN_EL,-205.8858828347192,5000.0,4.117717656694384
DGU_GBD,DGU_EL,GBD_EL,-2147.6162349746655,5000.0,42.95232469949331
DGU_GND,DGU_EL,GND_EL,-2914.1034351079625,5000.0,58.28206870215925
ICN_SEL,ICN_EL,SEL_EL,-722.6181405455344,5000.0,14.452362810910687
GWJ_JND,GWJ_EL,JND_EL,-1795.0094320858614,5000.0,35.90018864171723
GWJ_JBD,GWJ_EL,JBD_EL,879.2862873125451,5000.0,17.5857257462509
DJN_SJN,DJN_EL,SJN_EL,-756.7162641574527,5000.0,15.134325283149053
GGD_SEL,GGD_EL,SEL_EL,745.6668355219244,5000.0,14.913336710438488
GGD_ICN,GGD_EL,ICN_EL,1468.2849760674585,5000.0,29.36569952134917
GGD_GWD,GGD_EL,GWD_EL,-2067.8590829520285,5000.0,41.35718165904057
CBD_GGD,CBD_EL,GGD_EL,669.1767637360185,5000.0,13.383535274720371
CBD_GWD,CBD_EL,GWD_EL,-1398.6823192160105,5000.0,27.97364638432021
CBD_GBD,CBD_EL,GBD_EL,-4982.204277326688,5000.0,99.64408554653376
CBD_CND,CBD_EL,CND_EL,330.09029799987695,5000.0,6.601805959997539
CBD_DJN,CBD_EL,DJN_EL,1298.6441626034534,5000.0,25.972883252069067
CBD_SJN,CBD_EL,SJN_EL,541.9278984460009,5000.0,10.838557968920018
CND_GGD,CND_EL,GGD_EL,339.0864657361415,5000.0,6.78172931472283
CND_JBD,CND_EL,JBD_EL,-4846.526644498659,5000.0,96.9305328899732
CND_SJN,CND_EL,SJN_EL,211.837600446124,5000.0,4.23675200892248
CND_DJN,CND_EL,DJN_EL,968.5538646035766,5000.0,19.371077292071533
JBD_JND,JBD_EL,JND_EL,-2674.295719398406,5000.0,53.48591438796812
GBD_GWD,GBD_EL,GWD_EL,3583.521958110676,5000.0,71.67043916221353
GBD_GND,GBD_EL,GND_EL,-766.4872001332968,5000.0,15.329744002665938
GBD_USN,GBD_EL,USN_EL,-3087.23621700859,5000.0,61.7447243401718
GND_JBD,GND_EL,JBD_EL,1232.2551309612013,5000.0,24.645102619224026
GND_JND,GND_EL,JND_EL,-1442.0405884372046,5000.0,28.84081176874409
GND_USN,GND_EL,USN_EL,-2320.749016875293,5000.0,46.41498033750586
JJD_JND,JJD_EL,JND_EL,28.76165922952683,2000.0,1.4380829614763415
