region,final_energy,technology,supply_MWh
BSN,수소,수소,376027.39727712004
BSN,열,열,12544273.974528003
CBD,수소,수소,210575.34246816006
CBD,열,열,7029205.479432001
CND,수소,수소,300821.91778656
CND,열,열,10037424.658175997
DGU,수소,수소,310849.3150344
DGU,열,열,10368328.768848
DJN,수소,수소,180493.15072464
DJN,열,열,6016438.355731198
GBD,수소,수소,290794.52053872
GBD,열,열,9696493.154735997
GGD,수소,수소,952602.7398624002
GGD,열,열,31776821.920656
GND,수소,수소,360986.30136144004
GND,열,열,12042904.107743999
GWD,수소,수소,190520.54797248
GWD,열,열,6357369.862684802
GWJ,수소,수소,205561.64380032007
GWJ,열,열,6858739.7259552
ICN,수소,수소,396082.1917728002
ICN,열,열,13216109.588640004
JBD,수소,수소,235643.83563168003
JBD,열,열,7861479.451617603
JJD,수소,수소,65178.082190015986
JJD,열,열,2175945.20568
JND,수소,수소,240657.53421168
JND,열,열,8031945.205094398
SEL,수소,수소,551506.84933392
SEL,열,열,18400273.968671996
SJN,수소,수소,55150.68493339198
SJN,열,열,1835013.6987264005
USN,수소,수소,290794.52053872
USN,열,열,9696493.154735997
