발전기명,총발전량(MWh)
CND_Coal,129954652.14015853
GBD_Nuclear,100137600.0
GND_Coal,65398196.93475295
JND_Nuclear,51825600.0
BSN_Nuclear,39967200.0
ICN_Coal,35548914.63915695
GGD_H_Fallback_Gen,31776821.920656
USN_Nuclear,24595200.0
GWD_Coal,23667402.345096476
SEL_H_Fallback_Gen,18400273.968671996
ICN_H_Fallback_Gen,13216109.588640004
BSN_H_Fallback_Gen,12544273.974528003
GND_H_Fallback_Gen,12042904.107743999
JND_PV,11119989.59531367
DGU_H_Fallback_Gen,10368328.768848
CND_H_Fallback_Gen,10037424.658175997
GBD_H_Fallback_Gen,9696493.154735997
USN_H_Fallback_Gen,9696493.154735997
JBD_PV,9439991.167244786
JND_H_Fallback_Gen,8031945.205094398
