지역,발전량(GWh),재생에너지(GWh),부하량(GWh),밸런스(GWh),재생에너지비율(%)
SEL,636.3081844862,27.312254412659936,802.0543931609311,-165.74620867473098,4.292299718683293
ICN,21042.666160147994,161.4285542421097,28619.72764093607,-7577.061480788078,0.7671487681909523
GGD,23913.53814615588,843.9261806178839,27777.33346301932,-3863.79531686344,3.5290728434242413
GWD,20375.83832622248,2157.8642267775695,25572.355420173306,-5196.5170939508225,10.590308934678418
CBD,92527.9668818413,36458.87119347388,85520.92628005857,7007.0406017827245,39.403082572896096
CND,62246.59446337563,468.0735126832979,164450.40159255711,-102203.80712918147,0.7519664597212639
DJN,86930.03548398614,330.81421597953147,93754.12494108557,-6824.089457099422,0.3805522615258481
SJG,0.0,0.0,0.0,0.0,0.0
JBD,1432.672626512274,162.84159462845406,10409.043151652637,-8976.370525140363,11.36628086661213
JND,54197.14178003371,652.6662965019484,1624.4460102765124,52572.6957697572,1.20424486433414
GWJ,10192.275686471501,32.19358592295892,23541.27986804451,-13349.004181573006,0.31586258960489444
GBD,144189.83318303,1508.401586453258,50531.46513506388,93658.3680479661,1.0461220137057383
DGU,69064.05210144003,9.123881273415694,91555.8793681855,-22491.827266745477,0.013210752910956778
GND,43397.11432782902,129.17774112953717,48084.475393700624,-4687.361065871603,0.2976643565599939
BSN,95922.21811006537,67.3917242869575,97032.50915266394,-1110.2910425985754,0.07025663669456567
USN,25066.030745747004,133.93200146236003,908.5434026946035,24157.4873430524,0.5343167525041216
JJD,1228.0255798389653,732.6048474191199,802.0172091369536,426.00837070201175,59.65713250982838
