지역,발전원,총발전량(MWh)
BSN,태양광,44877.68992494689
BSN,풍력,22514.034362010603
BSN,LNG,0.0
BSN,원자력,39949000.0
BSN,Unknown,23020046.159366403
CBD,태양광,3189220.708524256
CBD,풍력,33269650.484949626
CBD,Unknown,24279508.134091206
CND,태양광,449468.96890422894
CND,풍력,18604.543779068998
CND,LNG,0.0
CND,Unknown,39743896.26818241
CND,석탄,1241908.9791743762
DGU,태양광,9123.881273415695
DGU,Unknown,43299610.63404721
DJN,태양광,330814.21597953147
DJN,Unknown,26308624.184729405
GBD,태양광,738893.5544501973
GBD,풍력,769508.0320030608
GBD,LNG,0.0
GBD,원자력,100092000.0
GBD,Unknown,30772215.412740346
GBD,석탄,0.0
GGD,태양광,781400.9927599311
GGD,풍력,62525.1878579528
GGD,LNG,0.0
GGD,Unknown,12574582.101400198
GND,태양광,42030.3681107736
GND,풍력,87147.37301876358
GND,LNG,0.0
GND,Unknown,11088084.411154397
GND,석탄,14717.130323879683
GWD,태양광,1183064.7688594214
GWD,풍력,974799.4579181478
GWD,LNG,0.0
GWD,Unknown,11044556.99457222
GWD,석탄,230863.50161465138
GWJ,태양광,32193.585922958915
GWJ,Unknown,7957546.819751683
ICN,태양광,161428.5542421097
ICN,LNG,0.0
ICN,Unknown,18724807.94947233
ICN,석탄,303882.99367801985
JBD,태양광,137524.41467244635
JBD,풍력,25317.17995600773
JBD,LNG,0.0
JBD,Unknown,1056682.456340082
JJD,태양광,257663.19228830986
JJD,풍력,474941.65513081005
JJD,LNG,0.0
JND,태양광,275020.74519483396
JND,풍력,377645.5513071144
JND,LNG,0.0
JND,원자력,51802000.0
JND,Unknown,1297883.5561597596
JND,석탄,79194.36931031714
SEL,태양광,27312.254412659935
SEL,LNG,0.0
SEL,Unknown,208073.60942079406
SJN,태양광,126609.04526676484
SJN,Unknown,65689.02000018256
USN,태양광,133932.00146236003
USN,LNG,0.0
USN,원자력,24584000.0
BSN,수소,32885780.22641201
CBD,수소,31789587.554276206
CND,수소,20792715.703335542
DGU,수소,25755317.5861194
DJN,수소,60290597.083277196
GBD,수소,11817216.18383637
GGD,수소,10495029.864137797
GND,수소,32165135.045221202
GWD,수소,6942553.603258042
GWJ,수소,2202535.28079686
ICN,수소,1852546.6627555331
JBD,수소,213148.57554373797
JJD,수소,181991.28949833396
JJD,Unknown,313429.44292151154
JND,수소,365397.558061684
SEL,수소,400922.3206527461
SJN,수소,242544.0738186383
USN,수소,292604.7415695288
USN,Unknown,55494.002715116076
