발전기명,총발전량(MWh)
GBD_Nuclear,100092000.0
DJN_H2_Fallback_Gen,60290597.083277196
JND_Nuclear,51802000.0
DGU_H_Fallback_Gen,43299610.63404721
BSN_Nuclear,39949000.0
CND_H_Fallback_Gen,39462936.26818241
CBD_WT,33269650.484949626
BSN_H2_Fallback_Gen,32885780.22641201
GND_H2_Fallback_Gen,32165135.045221202
CBD_H2_Fallback_Gen,31789587.554276206
GBD_H_Fallback_Gen,29200595.412740346
DJN_H_Fallback_Gen,26308624.184729405
DGU_H2_Fallback_Gen,25755317.5861194
USN_Nuclear,24584000.0
BSN_H_Fallback_Gen,23020046.159366403
CND_H2_Fallback_Gen,20792715.703335542
CBD_H_Fallback_Gen,19731468.134091206
ICN_H_Fallback_Gen,18619447.94947233
GBD_H2_Fallback_Gen,11817216.18383637
GGD_H2_Fallback_Gen,10495029.864137797
