선로명,시작버스,종료버스,평균조류(MW),용량(MVA),이용률(%)
GWD_GGD1,GWD_GWD_EL,GWD_GWD_EL,-3388.0,3388.0,100.0
GWD_GGD2,GWD_GWD_EL,GWD_GWD_EL,-5865.0,5865.0,100.0
GWD_GGD3,GWD_GWD_EL,GWD_GWD_EL,-7650.0,7650.0,100.0
GWD_GBD1,GWD_GWD_EL,GWD_GWD_EL,-924.0,924.0,100.0
GWD_GBD2,GWD_GWD_EL,GWD_GWD_EL,-1380.0,1380.0,100.0
GWD_GBD3,GWD_GWD_EL,GWD_GWD_EL,-3060.0,3060.0,100.0
GWD_CBD1,GWD_GWD_EL,GWD_GWD_EL,-3080.0,3080.0,100.0
GWD_CBD2,GWD_GWD_EL,GWD_GWD_EL,-4830.0,4830.0,100.0
GGD_SEL1,GGD_GGD_EL,GGD_GGD_EL,-7084.0,7084.0,100.0
GGD_SEL2,GGD_GGD_EL,GGD_GGD_EL,-2070.0,2070.0,100.0
GGD_ICN,GGD_GGD_EL,GGD_GGD_EL,-22.899999999999995,22.9,99.99999999999999
GGD_ICN1,GGD_GGD_EL,GGD_GGD_EL,-2772.0,2772.0,100.0
GGD_ICN2,GGD_GGD_EL,GGD_GGD_EL,-3105.0,3105.0,100.0
GGD_CND1,GGD_GGD_EL,GGD_GGD_EL,-308.0,308.0,100.0
GGD_CND2,GGD_GGD_EL,GGD_GGD_EL,-2070.0,2070.0,100.0
GGD_CND3,GGD_GGD_EL,GGD_GGD_EL,-3060.0,3060.0,100.0
GGD_CBD1,GGD_GGD_EL,GGD_GGD_EL,-1540.0,1540.0,100.0
GGD_CBD2,GGD_GGD_EL,GGD_GGD_EL,-690.0,690.0,100.0
GGD_CBD3,GGD_GGD_EL,GGD_GGD_EL,-3060.0,3060.0,100.0
GND_GBD1,GND_GND_EL,GND_GND_EL,-1232.0,1232.0,100.0
GND_GBD2,GND_GND_EL,GND_GND_EL,-4830.0,4830.0,100.0
GND_GBD3,GND_GND_EL,GND_GND_EL,-4590.0,4590.0,100.0
GND_DGU1,GND_GND_EL,GND_GND_EL,-308.0,308.0,100.0
GND_DGU2,GND_GND_EL,GND_GND_EL,-1380.0,1380.0,100.0
GND_BSN1,GND_GND_EL,GND_GND_EL,-1848.0,1848.0,100.0
GND_BSN2,GND_GND_EL,GND_GND_EL,-6210.0,6210.0,100.0
GND_BSN3,GND_GND_EL,GND_GND_EL,-4590.0,4590.0,100.0
GND_USN1,GND_GND_EL,GND_GND_EL,-308.0,308.0,100.0
GND_USN2,GND_GND_EL,GND_GND_EL,-1380.0,1380.0,100.0
GND_USN3,GND_GND_EL,GND_GND_EL,-4590.0,4590.0,100.0
GND_JND1,GND_GND_EL,GND_GND_EL,-616.0,616.0,100.0
GND_JND2,GND_GND_EL,GND_GND_EL,-1380.0,1380.0,100.0
GND_JBD2,GND_GND_EL,GND_GND_EL,-1380.0,1380.0,100.0
GBD_DGU1,GBD_GBD_EL,GBD_GBD_EL,-5852.0,5852.0,100.0
GBD_DGU2,GBD_GBD_EL,GBD_GBD_EL,-6210.0,6210.0,100.0
GBD_BSN3,GBD_GBD_EL,GBD_GBD_EL,-4590.0,4590.0,100.0
GBD_USN1,GBD_GBD_EL,GBD_GBD_EL,-154.0,154.0,100.0
GBD_USN2,GBD_GBD_EL,GBD_GBD_EL,-6210.0,6210.0,100.0
