발전기명,총발전량(MWh)
GGD_LNG,94612958.47194013
GBD_Nuclear,45643872.090438426
GND_Coal,32080923.501742337
GGD_GGD_H_Fallback_Gen,31754116.441202
GND_GND_H_Fallback_Gen,12033678.080347998
GWD_Coal,6907712.308230773
GWD_GWD_H_Fallback_Gen,6352027.396931602
GWD_PV,5919117.281615488
GGD_PV,5488636.02477062
GND_PV,5031249.689373031
GWD_Hydro,4611075.0
GWD_WT,3129122.469589541
GGD_Hydro,2415325.0
GND_Hydro,1273535.0
GGD_GGD_H2_Fallback_Gen,948952.0549308002
GND_WT,583395.7146692325
GND_GND_H2_Fallback_Gen,357739.72601898015
GGD_WT,318215.84436503856
GWD_GWD_H2_Fallback_Gen,187390.4109861598
GND_GND_LNG_Fallback_Gen,0.0
