발전기명,총발전량(MWh)
GBD_Nuclear,80055360.0
CND_Coal,70223907.04691291
SEL_Backup_LNG,46988549.82591461
JND_Nuclear,41432160.0
BSN_Nuclear,31951920.0
GGD_H_Fallback_Gen,31753136.441202
GWD_Coal,31068217.82326237
GND_Coal,30925802.22082238
DGU_Backup_LNG,23805304.705288265
USN_Nuclear,19662720.0
ICN_Coal,19001916.30220947
SEL_H_Fallback_Gen,18385725.475523993
GWJ_Backup_LNG,15592749.193518424
DJN_Backup_LNG,14662717.087667879
ICN_H_Fallback_Gen,13205106.945717903
BSN_H_Fallback_Gen,12533731.000554085
GND_H_Fallback_Gen,12032704.170302339
JND_PV,11116762.104207098
GGD_LNG,10441895.581744572
DGU_H_Fallback_Gen,10356374.764762076
