final_energy,technology,supply_MWh
수소,수소,5145656.133230283
열,열,173778683.6188568
전력,LNG,154809429.96867925
전력,석탄,153806970.2011349
전력,수력,14228260.2
전력,원자력,173102160.0
전력,태양광,61586110.44233459
전력,풍력,6542128.164350134
