region,final_energy,technology,supply_MWh
BSN,수소,수소,372038.78456217586
BSN,열,열,12533731.000554085
BSN,전력,LNG,1799976.2802471553
BSN,전력,원자력,31951920.0
BSN,전력,태양광,1399592.3512491123
BSN,전력,풍력,88788.36289811324
CBD,수소,수소,205703.986217513
CBD,열,열,7019578.507842845
CBD,전력,LNG,4297167.691048385
CBD,전력,수력,4092303.5999999987
CBD,전력,태양광,4279631.30420162
CBD,전력,풍력,88839.37716453617
CND,수소,수소,294882.7104099278
CND,열,열,10025700.411128119
CND,전력,LNG,6537349.922883741
CND,전력,석탄,70223907.04691291
CND,전력,수력,252806.40000000008
CND,전력,태양광,6358148.10996004
CND,전력,풍력,29596.12096603785
DGU,수소,수소,304805.8286117083
DGU,열,열,10356374.764762076
DGU,전력,LNG,23805304.705288265
DGU,전력,태양광,2039405.9975344127
DJN,수소,수소,176043.196962401
DJN,열,열,6007527.050449236
DJN,전력,LNG,14662717.087667879
DJN,전력,태양광,899737.9400886884
GBD,수소,수소,284962.07354697137
GBD,열,열,9685005.627057508
GBD,전력,LNG,718840.7860622376
GBD,전력,수력,1414135.7999999998
GBD,전력,원자력,80055360.0
GBD,전력,태양광,7179993.281866399
GBD,전력,풍력,1569699.4749380618
GGD,수소,수소,947200.4832407609
GGD,열,열,31753136.441202
GGD,전력,LNG,17714164.978199713
GGD,전력,수력,2172555.0
GGD,전력,태양광,4078811.9950688416
GGD,전력,풍력,177576.72579623343
GND,수소,수소,357059.01100754895
GND,열,열,12032704.170302339
GND,전력,LNG,1017474.9199999999
GND,전력,석탄,30925802.22082238
GND,전력,수력,1145529.0
GND,전력,태양광,3739996.500582159
GND,전력,풍력,325786.68347771425
GWD,수소,수소,187528.583493747
GWD,열,열,6351065.158977265
GWD,전력,LNG,1191199.550312045
GWD,전력,석탄,31068217.82326237
GWD,전력,수력,4147605.0
GWD,전력,태양광,4398718.818211536
GWD,전력,풍력,1746171.13699623
GWJ,수소,수소,202462.12154120128
GWJ,열,열,6852090.8498730585
GWJ,전력,LNG,15592749.193518424
GWJ,전력,태양광,1399592.3512491123
ICN,수소,수소,392015.4307272646
ICN,열,열,13205106.945717903
ICN,전력,LNG,7440913.496764652
ICN,전력,석탄,19001916.30220947
ICN,전력,수력,94802.40000000002
ICN,전력,태양광,2399301.17356986
JBD,수소,수소,232347.84334431816
JBD,열,열,7854142.2307868535
JBD,전력,LNG,547597.06
JBD,전력,수력,608315.3999999999
JBD,전력,태양광,9437251.282708272
JBD,전력,풍력,88788.36289811324
JJD,수소,수소,63504.341733128975
JJD,열,열,2172545.4242030033
JJD,전력,LNG,753763.523892236
JJD,전력,태양광,799767.0578566131
JJD,전력,풍력,1006268.1128452757
JND,수소,수소,237330.96202059597
JND,열,열,8024490.965656307
JND,전력,LNG,3661015.730037842
JND,전력,석탄,2587126.80792777
JND,전력,수력,300207.6
JND,전력,원자력,41432160.0
JND,전력,태양광,11116762.104207098
JND,전력,풍력,1420613.8063698185
SEL,수소,수소,546940.1750340279
SEL,열,열,18385725.475523993
SEL,전력,LNG,47869079.28678284
SEL,전력,태양광,539842.7640532297
SJN,수소,수소,53640.75101988555
SJN,열,열,1831859.9665709916
SJN,전력,LNG,4107698.1679900326
SJN,전력,태양광,399883.5289283309
USN,수소,수소,287189.8497571063
USN,열,열,9687898.628249208
USN,전력,LNG,3092417.587983788
USN,전력,원자력,19662720.0
USN,전력,태양광,1119673.8809992673
