지역,발전량(GWh),재생에너지(GWh),부하량(GWh),밸런스(GWh),재생에너지비율(%)
SEL,539.9994947364623,539.9994947364623,78493.92548047012,-77953.92598573366,100.0
ICN,27366.192548742572,2399.9977543842283,56374.27749398305,-29008.084945240473,8.769936665868062
GGD,19993.792811444753,4257.6980098047525,135574.94728167175,-115581.15447022697,21.295099183820597
GWD,20623.927495728065,6147.397185327412,27116.994926106985,-6493.067430378921,29.807112086680643
CBD,202077.5529207989,4368.846908994405,29974.054238796714,172103.4986820022,2.1619654661528416
CND,13028.285712708235,6389.611020343362,42815.78002741749,-29787.494314709253,49.044142577489815
DJN,2362.8119136252762,899.9991578940765,25683.4515755726,-23320.63966194732,38.09017352181886
SJG,0.0,0.0,0.0,0.0,0.0
JBD,10137.573280920524,9528.842080920525,33537.857824368664,-23400.28454344814,93.99529667375461
JND,55503.4132668615,12541.604214125498,34254.62950398241,21248.783762879088,22.596095403764128
GWJ,3594.4344160126934,1399.9986900574934,29257.282559095118,-25662.848143082425,38.949067586842
GBD,92887.95071154047,8749.692756804461,41382.23668039671,51505.71403114377,9.419620833251296
DGU,8196.820013346627,2039.9980912266265,44239.29598167027,-36042.47596832364,24.887677024809143
GND,13892.183654041752,4065.7831840598733,51376.93054733897,-37484.74689329722,29.26669618909757
BSN,152943.47426105238,1488.8496037332322,53517.21818392855,99426.25607712382,0.9734639617195968
USN,20796.158952045975,1119.9989520459724,41382.23668039671,-20586.077728350734,5.385604883231499
JJD,1806.976273119769,1806.976273119769,9277.92220220557,-7470.945929085799,100.0
