지역,발전량(MWh),부하량(MWh),밸런스(MWh)
SJN,2.1374442524055,893.2648402130001,-891.1273959605945
CND,0.0,4875.5707763400005,-4875.5707763400005
CBD,0.0,3413.24200924,-3413.24200924
GND,233562.21483815857,5850.456620409999,227711.75821774857
ICN,1.8618637150861446,6419.520548199997,-6417.658684484912
JBD,6412.818411650627,3819.06392692,2593.754484730627
BSN,5436.210198373739,6094.178082179999,-657.96788380626
JND,38888.245683575136,3900.6849318699997,34987.56075170514
DJN,12882.517563528021,2924.6575340099994,9957.860029518022
DGU,367.91558564358337,5037.67123285,-4669.755647206416
GWD,87771.15831421576,3087.89954292,84683.25877129576
GWJ,210300.55102579706,3331.6210042800008,206968.93002151707
GGD,1361.868249670064,15438.3561676,-14076.487917929937
JJD,889.1787947017109,1056.5068493239999,-167.32805462228896
USN,70.88957024811364,4712.32876783,-4641.439197581886
SEL,0.0,8938.35616413,-8938.35616413
GBD,6361.729103352562,4712.32876783,1649.4003355225614
