선로명,시작버스,종료버스,평균조류(MW),용량(MVA),이용률(%)
GWD_GGD1,GWD_EL,GGD_EL,1.736400664962505,3388.0,0.051251495423922815
GWD_GGD2,GWD_EL,GGD_EL,1.736400664962505,5865.0,0.029606149445226004
GWD_GGD3,GWD_EL,GGD_EL,1.736400664962505,7650.0,0.0226980479080066
GWD_GBD1,GWD_EL,GBD_EL,-1.1494728719818268,924.0,0.12440182597205918
GWD_GBD2,GWD_EL,GBD_EL,-1.1494728719818268,1380.0,0.08329513565085701
GWD_GBD3,GWD_EL,GBD_EL,-1.1494728719818268,3060.0,0.03756447294058257
GWD_CBD1,GWD_EL,CBD_EL,1.0186809019191305,3080.0,0.033074055257114626
GWD_CBD2,GWD_EL,CBD_EL,1.0186809019191305,4830.0,0.02109070190308759
GGD_SEL1,GGD_EL,SEL_EL,3.0817121617016605,7084.0,0.043502430289407965
GGD_SEL2,GGD_EL,SEL_EL,3.0817121617016605,2070.0,0.14887498365708504
GGD_ICN,GGD_EL,ICN_EL,0.27323316485721105,22.9,1.1931579251406597
GGD_ICN1,GGD_EL,ICN_EL,0.2732331648572106,2772.0,0.009856896279120153
GGD_ICN2,GGD_EL,ICN_EL,0.27323316485721105,3105.0,0.008799779866576846
GGD_CND1,GGD_EL,CND_EL,-1.2057032362301763,308.0,0.39146208968512214
GGD_CND2,GGD_EL,CND_EL,-1.2057032362301756,2070.0,0.05824653315121621
GGD_CND3,GGD_EL,CND_EL,-1.2057032362301756,3060.0,0.039402066543469796
GGD_CBD1,GGD_EL,CBD_EL,-1.2011121094267545,1540.0,0.07799429281991913
GGD_CBD2,GGD_EL,CBD_EL,-1.2011121094267547,690.0,0.1740742187575007
GGD_CBD3,GGD_EL,CBD_EL,-1.2011121094267545,3060.0,0.03925202971982858
GND_GBD1,GND_EL,GBD_EL,2.1697732279479993,1232.0,0.17611795681396097
GND_GBD2,GND_EL,GBD_EL,2.1697732279479993,4830.0,0.04492284115834367
GND_GBD3,GND_EL,GBD_EL,2.1697732279479993,4590.0,0.04727174788557733
GND_DGU1,GND_EL,DGU_EL,2.693817847975256,308.0,0.8746161844075506
GND_DGU2,GND_EL,DGU_EL,2.693817847975256,1380.0,0.19520419188226493
GND_BSN1,GND_EL,BSN_EL,1.9124424361943306,1848.0,0.10348714481571053
GND_BSN2,GND_EL,BSN_EL,1.9124424361943306,6210.0,0.03079617449588294
GND_BSN3,GND_EL,BSN_EL,1.9124424361943306,4590.0,0.041665412553253386
GND_USN1,GND_EL,USN_EL,1.6942173883549199,308.0,0.5500705806347143
