발전기명,총발전량(MWh)
GWJ_PV,210300.55102579706
GND_PV,207285.03340481338
GWD_PV,48518.54049011893
GWD_WT,39252.61782409683
JND_PV,27504.68920336859
GND_WT,26277.18143334518
DJN_PV,12882.517563528021
JND_WT,11383.556480206544
JBD_PV,6197.886436674147
BSN_PV,4607.848746614593
GBD_WT,3246.7257578059757
GBD_PV,3115.0033455465864
GGD_PV,1273.538422465624
BSN_WT,828.3614517591459
JJD_WT,588.9414947303287
DGU_PV,367.91558564358337
JJD_PV,300.2372999713822
JBD_WT,214.93197497648003
GGD_WT,88.32982720444
USN_PV,70.88957024811364
