region,final_energy,technology,supply_MWh
BSN,수소,전해조,42.872487804109895
BSN,열,기타,1432.9642762826215
BSN,전력,태양광,4607.848746614593
BSN,전력,풍력,828.3614517591459
CBD,수소,전해조,24.010454121380196
CBD,열,기타,802.7572207569236
CND,수소,전해조,34.29878105494263
CND,열,기타,1146.3251594789574
DGU,수소,전해조,35.45310932421371
DGU,열,기타,1184.4489902414998
DGU,전력,태양광,367.91558564358337
DJN,수소,전해조,20.584956975935125
DJN,열,기타,687.0462796796872
DJN,전력,태양광,12882.517563528021
GBD,수소,전해조,33.15797128558248
GBD,열,기타,1107.3328122218343
GBD,전력,태양광,3115.0033455465864
GBD,전력,풍력,3246.7257578059757
GGD,수소,전해조,108.62869632767429
GGD,열,기타,3629.478425270841
GGD,전력,태양광,1273.538422465624
GGD,전력,풍력,88.32982720444
GND,수소,전해조,41.16105385463541
GND,열,기타,1375.3126311487501
GND,전력,태양광,207285.03340481338
GND,전력,풍력,26277.18143334518
GWD,수소,전해조,21.722220485443287
GWD,열,기타,726.0100936541115
GWD,전력,태양광,48518.54049011893
GWD,전력,풍력,39252.61782409683
GWJ,수소,전해조,23.445814398642888
GWJ,열,기타,783.560200364329
GWJ,전력,태양광,210300.55102579706
ICN,수소,전해조,45.16735982550205
ICN,열,기타,1509.612192193049
ICN,전력,태양광,1.8618637150861446
JBD,수소,전해조,26.873941504775047
JBD,열,기타,897.9854563748756
JBD,전력,태양광,6197.886436674147
JBD,전력,풍력,214.93197497648003
JJD,수소,전해조,7.436878653651814
JJD,열,기타,248.5993352467715
JJD,전력,태양광,300.2372999713822
JJD,전력,풍력,588.9414947303287
JND,수소,전해조,27.4477218705184
JND,열,기타,917.3199121530616
JND,전력,태양광,27504.68920336859
JND,전력,풍력,11383.556480206544
SEL,수소,전해조,62.917021706614676
SEL,열,기타,2102.3351979047993
SJN,수소,전해조,6.289034547716933
SJN,열,기타,209.57055615229572
SJN,전력,태양광,2.1374442524055
USN,수소,전해조,33.15896723210767
USN,열,기타,1107.399374542129
USN,전력,태양광,70.88957024811364
