발전기명,총발전량(MWh)
GBD_Nuclear,100137600.0
GGD_LNG_Fallback_Gen,53081712.0
JND_Nuclear,51825600.0
BSN_Nuclear,39967200.0
JBD_WT,29534708.13185551
JND_WT,28309964.119275514
USN_Nuclear,24595200.0
GBD_PV,24289018.41837017
JJD_WT,23693576.98019714
GWD_WT,23689530.108655944
GWD_PV,17026841.26420257
GND_WT,14645677.188115247
JBD_PV,14183350.84209884
GND_PV,13730722.191838387
JND_PV,12052695.92398165
GBD_WT,11846788.49009857
BSN_WT,11638970.21547555
CBD_WT,11478056.067440115
GGD_WT,11217336.809014626
CND_PV,10987319.652024841
