선로명,시작지역,종료지역,조류(MW),용량(MVA),이용률(%)
BSN_GND,부산광역시,경상남도,-91.26703289650526,5000.0,1.8253406579301052
BSN_USN,부산광역시,울산광역시,185.70903273494304,5000.0,3.7141806546988607
DGU_GBD,대구광역시,경상북도,-1746.8598398541578,5000.0,34.93719679708316
DGU_GND,대구광역시,경상남도,-1843.4459264368838,5000.0,36.86891852873767
ICN_SEL,인천광역시,서울특별시,3419.036840664392,5000.0,68.38073681328784
GWJ_JND,광주광역시,전라남도,-2160.654428833085,5000.0,43.213088576661704
GWJ_JBD,광주광역시,전라북도,-209.72833680181088,5000.0,4.194566736036218
DJN_SJN,대전광역시,SJN,-370.7953297906102,5000.0,7.415906595812204
GGD_SEL,경기도,서울특별시,3292.524377287017,5000.0,65.85048754574035
GGD_ICN,경기도,인천광역시,-126.51246337737437,5000.0,2.5302492675474872
GGD_GWD,경기도,강원도,-4956.478189909683,5000.0,99.12956379819366
CBD_GGD,충청북도,경기도,4010.262491790978,5000.0,80.20524983581956
CBD_GWD,충청북도,강원도,-946.2156981187053,5000.0,18.924313962374107
CBD_GBD,충청북도,경상북도,-4088.7233861032055,5000.0,81.77446772206412
CBD_CND,충청북도,충청남도,-958.8985222116597,5000.0,19.177970444233196
CBD_DJN,충청북도,대전광역시,394.5056135118969,5000.0,7.890112270237938
CBD_SJN,충청북도,SJN,23.710283721286597,5000.0,0.47420567442573197
CND_GGD,충청남도,경기도,4969.161014002637,5000.0,99.38322028005274
CND_JBD,충청남도,전라북도,-1619.5847785028213,5000.0,32.39169557005643
CND_SJN,충청남도,SJN,982.6088059329463,5000.0,19.652176118658925
CND_DJN,충청남도,대전광역시,1353.4041357235565,5000.0,27.06808271447113
JBD_JND,전라북도,전라남도,-1950.9260920312743,5000.0,39.01852184062549
GBD_GWD,경상북도,강원도,3142.5076879844996,5000.0,62.850153759689995
GBD_GND,경상북도,경상남도,-96.58608658272591,5000.0,1.9317217316545183
GBD_USN,경상북도,울산광역시,180.38997904872238,5000.0,3.6077995809744476
GND_JBD,경상남도,전라북도,1606.8261719714494,5000.0,32.136523439428984
GND_JND,경상남도,전라남도,-344.09992005982457,5000.0,6.881998401196491
GND_USN,경상남도,울산광역시,276.97606563144836,5000.0,5.539521312628967
JJD_JND,제주특별자치도,전라남도,-593.2990701366406,2000.0,29.66495350683203
