발전기명,총발전량(MWh)
GBD_Nuclear,100092000.0
CND_Coal,84106172.14553896
GND_Coal,64972950.90013006
JND_Nuclear,51802000.0
ICN_Coal,43860883.5990712
BSN_Nuclear,39949000.0
GWD_Coal,33996552.86859534
GGD_H_Fallback_Gen,31762351.59821039
ICN_LNG,27534042.646181956
USN_Nuclear,24584000.0
SEL_H_Fallback_Gen,18391894.977190997
ICN_H_Fallback_Gen,13210091.324239003
BSN_H_Fallback_Gen,12538561.643828398
GND_H_Fallback_Gen,12037420.091323795
JND_PV,11118419.76758627
DGU_H_Fallback_Gen,10363607.305904
CND_H_Fallback_Gen,10032853.881305404
GBD_H_Fallback_Gen,9692077.625581203
USN_H_Fallback_Gen,9692077.625581203
JBD_PV,9437332.692486875
