지역,발전원,총발전량(MWh)
BSN,태양광,1398557.6545925573
BSN,풍력,88810.24114204793
BSN,LNG,3283.172852554344
BSN,원자력,39949000.0
BSN,Unknown,12538561.643828398
CBD,태양광,4279493.263394585
CBD,풍력,88810.24114204793
CBD,Unknown,11574044.566207558
CND,태양광,6359246.998875787
CND,풍력,29603.413714016093
CND,LNG,16686.492625064682
CND,Unknown,10313813.881305404
CND,석탄,84106172.14553896
DGU,태양광,2027615.828111011
DGU,Unknown,10363607.305904
DJN,태양광,899893.4432371432
DJN,Unknown,6013698.630134218
GBD,태양광,7113252.132427424
GBD,풍력,1568980.9268428548
GBD,LNG,28734.726398020273
GBD,원자력,100092000.0
GBD,Unknown,11263697.625581203
GBD,석탄,658030.0999773294
GGD,태양광,4079516.94267517
GGD,풍력,177620.48228410282
GGD,LNG,1599510.314362029
GGD,Unknown,34176851.598210394
GND,태양광,3734376.8289237893
GND,풍력,325637.55085418065
GND,LNG,0.0
GND,Unknown,13310520.091323795
GND,석탄,64972950.90013006
GWD,태양광,4399479.055826204
GWD,풍력,1746601.4091269462
GWD,LNG,21200.0
GWD,Unknown,10963974.885840857
GWD,석탄,33996552.86859534
GWJ,태양광,1394752.7873519487
GWJ,Unknown,6855616.43835424
ICN,태양광,2399715.848632406
ICN,LNG,27534042.646181956
ICN,Unknown,13315451.324239003
ICN,석탄,43860883.5990712
JBD,태양광,9437332.692486875
JBD,풍력,88810.24114204793
JBD,LNG,2154.0
JBD,Unknown,8533959.543380998
JJD,태양광,799905.2828774618
JJD,풍력,1006516.0662765356
JJD,LNG,22528.528397033617
JND,태양광,11118419.76758627
JND,풍력,1420963.8582727734
JND,LNG,86051.58377806158
JND,원자력,51802000.0
JND,Unknown,8361927.671234317
JND,석탄,5519418.705773976
SEL,태양광,539936.0659423025
SEL,LNG,0.0
SEL,Unknown,18391894.977190997
SJN,태양광,399952.6414387553
SJN,Unknown,1834178.0821914207
USN,태양광,1119867.3960284556
USN,LNG,0.0
USN,원자력,24584000.0
BSN,수소,375856.164383718
CBD,수소,210479.45205456598
CND,수소,300684.93150715006
DGU,수소,310707.76255724207
DJN,수소,180410.95890429005
GBD,수소,290662.1004570579
GGD,수소,952168.94976752
GND,수소,360821.9178085801
GWD,수소,190433.78995438202
GWJ,수소,205468.03652952006
ICN,수소,395901.8264839019
JBD,수소,235536.52968067396
JJD,수소,65148.401826476
JJD,Unknown,2174954.3378980593
JND,수소,240547.94520572003
SEL,수소,551255.7077629619
SJN,수소,55125.57077629621
USN,수소,290662.1004570579
USN,Unknown,9692077.625581203
