지역,발전량(MWh),부하량(MWh),밸런스(MWh)
JBD,10220150.460920524,33537857.824368663,-23317707.36344814
CBD,118997448.46742527,29974054.238796715,89023394.22862856
SJN,399999.62573072565,7844378.849906213,-7444379.224175487
SEL,703098.1908896314,78493925.48047012,-77790827.2895805
JND,57641208.335408084,34254629.50398241,23386578.831425674
GBD,93138593.01154047,41382236.680396706,51756356.33114377
GND,35718360.954086065,51376930.54733897,-15658569.593252905
BSN,114284694.58570817,53517218.18392855,60767476.40177962
DJN,2362811.913625276,25683451.5755726,-23320639.66194732
CND,85972532.30430387,42815780.02741749,43156752.27688638
GWJ,3594434.416012693,29257282.55909512,-25662848.143082425
JJD,1874040.567859428,9277922.202205569,-7403881.634346141
DGU,8197985.989852805,44239295.98167027,-36041309.99181746
USN,23308805.506649274,41382236.680396706,-18073431.17374743
GGD,23251826.42509538,135574947.28167173,-112323120.85657635
GWD,44422321.9303474,27116994.926106986,17305327.004240412
ICN,23819522.341066957,56374277.493983045,-32554755.15291609
