발전기명,총발전량(MWh)
CND_Coal,147831768.87521982
GBD_Nuclear,100137600.0
GWD_Coal,67068118.40175575
GND_Coal,57439727.11265618
JND_Nuclear,51825600.0
BSN_Nuclear,39967200.0
ICN_Coal,25289704.948679097
USN_Nuclear,24595200.0
JND_PV,11119989.59531367
JBD_PV,9439991.167244786
GBD_PV,7179993.281866399
CND_PV,6359994.049118115
GGD_H_Fallback_Gen,5424821.920656
GWD_Hydro,4611600.0
CBD_Hydro,4550112.0
GWD_PV,4399995.883037877
CBD_PV,4279995.995318666
GGD_PV,4079996.1824532677
JND_Coal,4068229.823578492
GND_PV,3739996.500582159
