지역,발전량(GWh),재생에너지(GWh),부하량(GWh),밸런스(GWh),재생에너지비율(%)
SEL,1099.6510089091175,539.9994947364623,78493.92548047012,-77394.274471561,49.106442895201454
ICN,31703.133717322267,2399.9977543842283,56374.27749398305,-24671.143776660778,7.570222476375873
GGD,15276.481662147913,4257.6980098047525,135574.94728167175,-120298.46561952382,27.870933268322396
GWD,80148.40273131074,6147.397185327412,27116.994926106985,53031.40780520375,7.670018335781348
CBD,10888.339730894566,4368.846908994405,29974.054238796714,-19085.71450790215,40.12408702309538
CND,157955.1100000566,6389.611020343362,42815.78002741749,115139.32997263911,4.045206907418868
DJN,1826.5306643499164,899.9991578940765,25683.4515755726,-23856.92091122268,49.27369550701721
SJG,0.0,0.0,0.0,0.0,0.0
JBD,10441.571916552204,9528.842080920525,33537.857824368664,-23096.28590781646,91.25869320322546
JND,72227.9596235017,12541.604214125498,34254.62950398241,37973.330119519276,17.363918736595025
GWJ,3193.9000598130133,1399.9986900574934,29257.282559095118,-26063.382499282106,43.833515884634664
GBD,113017.00109055064,8749.692756804461,41382.23668039671,71634.76441015392,7.741926145955773
DGU,4813.576175109028,2039.9980912266265,44239.29598167027,-39425.71980656124,42.38009365626005
GND,64842.072327585316,4065.7831840598733,51376.93054733897,13465.141780246347,6.270285692781899
BSN,42820.52825151497,1488.8496037332322,53517.21818392855,-10696.689932413585,3.476952911435785
USN,27387.318380602785,1119.9989520459724,41382.23668039671,-13994.91829979392,4.08948016188112
JJD,2486.4529630552265,1806.976273119769,9277.92220220557,-6791.469239150341,72.67285164724969
