발전기명,총발전량(MWh)
CBD_Coal,108774695.27899887
GBD_Nuclear,80110080.0
BSN_Coal,79297295.56916645
CND_Coal,72588218.42279339
JND_Nuclear,41460480.0
BSN_Nuclear,31973760.0
GWD_Coal,30750544.961241912
GND_Coal,27819770.185805183
USN_Nuclear,19676160.0
ICN_Coal,14143921.832488889
GGD_LNG_Fuel_Supply,13567724.353392923
JND_PV,11119989.59531367
JBD_PV,9439991.167244786
GBD_PV,7179993.281866399
CND_PV,6359994.049118115
DGU_LNG_Fuel_Supply,6157987.8986261785
CND_LNG_Fuel_Supply,5235264.0
GWD_PV,4399995.883037877
CBD_PV,4279995.995318666
GWD_Hydro,4150440.0
