지역,발전원,총발전량(MWh)
BSN,태양광,455570.3161551514
BSN,풍력,148498.06944308904
BSN,LNG,0.0
BSN,원자력,39858000.0
BSN,Unknown,12804619.567149604
CBD,태양광,482653.3152721592
CBD,풍력,12216369.112964945
CBD,Unknown,11712770.579690881
CND,태양광,553673.6827181476
CND,풍력,18741741.53049884
CND,LNG,0.0
CND,Unknown,10526062.754309997
CND,석탄,2733956.0669855434
DGU,태양광,268075.3141484908
DGU,Unknown,10583514.494500803
DJN,태양광,54481.855533882626
DJN,Unknown,6141304.347381121
GBD,태양광,3221763.6123176096
GBD,풍력,1739523.370105798
GBD,LNG,0.0
GBD,원자력,99864000.0
GBD,Unknown,11465775.511342797
GBD,석탄,82562.53290062267
GGD,태양광,8371694.942850773
GGD,풍력,210686397.86720508
GGD,LNG,1200.6241575108618
GGD,Unknown,34845322.46666041
GND,태양광,192092.23669059618
GND,풍력,251576.5946716984
GND,LNG,0.0
GND,Unknown,13563044.201007599
GND,석탄,564690.4818928639
GWD,태양광,407928.62958617724
GWD,풍력,2298953.587723655
GWD,LNG,0.0
GWD,Unknown,11088311.593869843
GWD,석탄,6041824.84185837
GWJ,태양광,371161.67310328566
GWJ,Unknown,7001086.956446521
ICN,태양광,3860740.616290758
ICN,LNG,243299.50022509712
ICN,Unknown,13595518.550307596
ICN,석탄,5152140.075141111
JBD,태양광,846277.3417018024
JBD,풍력,8969768.366207477
JBD,LNG,0.0
JBD,Unknown,8699157.680715118
JJD,태양광,175894.6829940005
JJD,풍력,1525000.8073255108
JJD,LNG,0.0
JND,태양광,1829688.3404655876
JND,풍력,489396.4439222471
JND,LNG,0.0
JND,원자력,51684000.0
JND,Unknown,8531521.303950723
JND,석탄,373498.83620842337
SEL,태양광,23199653.991156943
SEL,LNG,1398160.4701301502
SEL,Unknown,18782155.793090396
SJN,태양광,37112.842550374204
SJN,Unknown,1873097.8261863592
USN,태양광,590872.8383035845
USN,LNG,0.0
USN,원자력,49056000.0
BSN,수소,383831.52175599616
CBD,수소,214945.65217656002
CND,수소,307065.21736905596
DGU,수소,317300.724602544
DJN,수소,184239.13047521995
GBD,수소,296829.710135568
GGD,수소,972373.1885479197
GND,수소,368478.26086108794
GWD,수소,194474.637708708
GWJ,수소,209827.8985142639
ICN,수소,404302.5362238479
JBD,수소,240534.4203058319
JJD,수소,66530.79709966558
JJD,Unknown,2221105.0726663205
JND,수소,245652.17387702403
SEL,수소,562952.8985697959
SJN,수소,56295.289856979616
USN,수소,296829.710135568
USN,Unknown,9897735.511342797
