발전기명,총발전량(MWh)
GGD_WT,210686397.86720508
GBD_Nuclear,99864000.0
JND_Nuclear,51684000.0
USN_Nuclear,49056000.0
BSN_Nuclear,39858000.0
GGD_H_Fallback_Gen,32436322.46666041
SEL_PV,23199653.991156943
SEL_H_Fallback_Gen,18782155.793090396
CND_WT,18741741.53049884
ICN_H_Fallback_Gen,13490398.550307596
BSN_H_Fallback_Gen,12804619.567149604
GND_H_Fallback_Gen,12292844.201007599
CBD_WT,12216369.112964945
DGU_H_Fallback_Gen,10583514.494500803
CND_H_Fallback_Gen,10245742.754309997
GBD_H_Fallback_Gen,9897735.511342797
USN_H_Fallback_Gen,9897735.511342797
JBD_WT,8969768.366207477
GGD_PV,8371694.942850773
JND_H_Fallback_Gen,8198641.303950722
