발전기명,총발전량(MWh)
GBD_Nuclear,99864000.0
DJN_H2_Fallback_Gen,60798913.0452156
JND_Nuclear,51684000.0
USN_Nuclear,49056000.0
DGU_H_Fallback_Gen,42141943.851025626
BSN_Nuclear,39858000.0
CND_H_Fallback_Gen,39794324.44949628
BSN_H2_Fallback_Gen,33149498.51786552
CBD_WT,32622613.919177257
GND_H2_Fallback_Gen,32436322.46666041
CBD_H2_Fallback_Gen,32057608.69784401
DJN_H_Fallback_Gen,26530434.786259204
GBD_H_Fallback_Gen,24726524.827092603
BSN_H_Fallback_Gen,23203657.094039075
DGU_H2_Fallback_Gen,22358919.26937669
CND_H2_Fallback_Gen,20964793.39929372
CBD_H_Fallback_Gen,19897826.085226804
ICN_H_Fallback_Gen,18782155.793090396
GGD_H2_Fallback_Gen,10583514.494500803
GBD_H2_Fallback_Gen,10433143.350727499
