선로명,시작버스,종료버스,평균조류(MW),용량(MVA),이용률(%)
BSN_GND,BSN_EL,GND_EL,1073.9613319899136,5000.0,21.47922663979827
BSN_USN,BSN_EL,USN_EL,-1259.3463929369705,5000.0,25.18692785873941
DGU_GBD,DGU_EL,GBD_EL,-1910.3597122604278,5000.0,38.20719424520856
DGU_GND,DGU_EL,GND_EL,-1514.985711098606,5000.0,30.299714221972124
ICN_SEL,ICN_EL,SEL_EL,-298.33889410381965,5000.0,5.966777882076394
GWJ_JND,GWJ_EL,JND_EL,-2270.5382379870152,5000.0,45.41076475974031
GWJ_JBD,GWJ_EL,JBD_EL,706.9290010252743,5000.0,14.138580020505485
DJN_SJN,DJN_EL,SJN_EL,-195.4774140525822,5000.0,3.9095482810516438
GGD_SEL,GGD_EL,SEL_EL,318.5623807349212,5000.0,6.371247614698423
GGD_ICN,GGD_EL,ICN_EL,616.9012748387406,5000.0,12.338025496774813
GGD_GWD,GGD_EL,GWD_EL,-2087.6190672717694,5000.0,41.75238134543539
CBD_GGD,CBD_EL,GGD_EL,1045.8060792941594,5000.0,20.91612158588319
CBD_GWD,CBD_EL,GWD_EL,-1041.81298797761,5000.0,20.8362597595522
CBD_GBD,CBD_EL,GBD_EL,-4995.971299404837,5000.0,99.91942598809673
CBD_CND,CBD_EL,CND_EL,2730.2222099029477,5000.0,54.60444419805896
CBD_DJN,CBD_EL,DJN_EL,1667.8085998185516,5000.0,33.35617199637103
CBD_SJN,CBD_EL,SJN_EL,1472.331185765969,5000.0,29.44662371531938
CND_GGD,CND_EL,GGD_EL,-1684.4161306087885,5000.0,33.68832261217577
CND_JBD,CND_EL,JBD_EL,-4975.372922759161,5000.0,99.50745845518323
CND_SJN,CND_EL,SJN_EL,-1257.8910241369788,5000.0,25.157820482739574
CND_DJN,CND_EL,DJN_EL,-1062.4136100843966,5000.0,21.248272201687932
JBD_JND,JBD_EL,JND_EL,-2977.4672390122887,5000.0,59.549344780245775
GBD_GWD,GBD_EL,GWD_EL,3954.1583114272266,5000.0,79.08316622854453
GBD_GND,GBD_EL,GND_EL,395.37400116182164,5000.0,7.907480023236432
GBD_USN,GBD_EL,USN_EL,-1937.933723765063,5000.0,38.758674475301255
GND_JBD,GND_EL,JBD_EL,2355.4465853868014,5000.0,47.108931707736026
GND_JND,GND_EL,JND_EL,-622.020653625488,5000.0,12.44041307250976
GND_USN,GND_EL,USN_EL,-2333.307724926885,5000.0,46.6661544985377
JJD_JND,JJD_EL,JND_EL,-38.429658419647936,2000.0,1.9214829209823967
