선로명,시작지역,종료지역,조류(MW),용량(MVA),이용률(%)
BSN_GND,부산광역시,경상남도,1073.9613319899136,5000.0,21.47922663979827
BSN_USN,부산광역시,울산광역시,-1259.3463929369705,5000.0,25.18692785873941
DGU_GBD,대구광역시,경상북도,-1910.3597122604278,5000.0,38.20719424520856
DGU_GND,대구광역시,경상남도,-1514.985711098606,5000.0,30.299714221972124
ICN_SEL,인천광역시,서울특별시,-298.33889410381965,5000.0,5.966777882076394
GWJ_JND,광주광역시,전라남도,-2270.5382379870152,5000.0,45.41076475974031
GWJ_JBD,광주광역시,전라북도,706.9290010252743,5000.0,14.138580020505485
DJN_SJN,대전광역시,SJN,-195.4774140525822,5000.0,3.9095482810516438
GGD_SEL,경기도,서울특별시,318.5623807349212,5000.0,6.371247614698423
GGD_ICN,경기도,인천광역시,616.9012748387406,5000.0,12.338025496774813
GGD_GWD,경기도,강원도,-2087.6190672717694,5000.0,41.75238134543539
CBD_GGD,충청북도,경기도,1045.8060792941594,5000.0,20.91612158588319
CBD_GWD,충청북도,강원도,-1041.81298797761,5000.0,20.8362597595522
CBD_GBD,충청북도,경상북도,-4995.971299404837,5000.0,99.91942598809673
CBD_CND,충청북도,충청남도,2730.2222099029477,5000.0,54.60444419805896
CBD_DJN,충청북도,대전광역시,1667.8085998185516,5000.0,33.35617199637103
CBD_SJN,충청북도,SJN,1472.331185765969,5000.0,29.44662371531938
CND_GGD,충청남도,경기도,-1684.4161306087885,5000.0,33.68832261217577
CND_JBD,충청남도,전라북도,-4975.372922759161,5000.0,99.50745845518323
CND_SJN,충청남도,SJN,-1257.8910241369788,5000.0,25.157820482739574
CND_DJN,충청남도,대전광역시,-1062.4136100843966,5000.0,21.248272201687932
JBD_JND,전라북도,전라남도,-2977.4672390122887,5000.0,59.549344780245775
GBD_GWD,경상북도,강원도,3954.1583114272266,5000.0,79.08316622854453
GBD_GND,경상북도,경상남도,395.37400116182164,5000.0,7.907480023236432
GBD_USN,경상북도,울산광역시,-1937.933723765063,5000.0,38.758674475301255
GND_JBD,경상남도,전라북도,2355.4465853868014,5000.0,47.108931707736026
GND_JND,경상남도,전라남도,-622.020653625488,5000.0,12.44041307250976
GND_USN,경상남도,울산광역시,-2333.307724926885,5000.0,46.6661544985377
JJD_JND,제주특별자치도,전라남도,-38.429658419647936,2000.0,1.9214829209823967
