지역,발전원,총발전량(MWh)
BSN,태양광,1398722.0996144533
BSN,풍력,88850.91367573896
BSN,LNG,12915.0
BSN,원자력,39967200.0
BSN,Unknown,12544273.972595517
CBD,태양광,4279995.995318666
CBD,풍력,88850.91367573896
CBD,Unknown,11579317.479449566
CND,태양광,6359994.049118115
CND,풍력,29616.971225246423
CND,LNG,38302.14595131049
CND,Unknown,10318512.657561125
CND,석탄,84149179.91751172
DGU,태양광,2027855.4480000597
DGU,Unknown,10368328.7670912
DJN,태양광,899999.1578940764
DJN,Unknown,6016438.356161614
GBD,태양광,7114095.50046829
GBD,풍력,1569699.4749380618
GBD,LNG,27820.91445981017
GBD,원자력,100137600.0
GBD,Unknown,11268829.150695363
GBD,석탄,660930.0999773294
GGD,태양광,4079996.1824532677
GGD,풍력,177701.82735148483
GGD,LNG,1592041.541868025
GGD,Unknown,34192421.917845115
GND,태양광,3734816.1320537124
GND,풍력,325786.68347771425
GND,LNG,2024.0
GND,Unknown,13316584.109588636
GND,석탄,65003133.36344512
GWD,태양광,4399995.883037877
GWD,풍력,1747401.302289535
GWD,LNG,27136.0
GWD,Unknown,10968969.863009807
GWD,석탄,34010672.16236127
GWJ,태양광,1394917.2323738448
GWJ,Unknown,6858739.726025471
ICN,태양광,2399997.7543842285
ICN,LNG,27550281.45581632
ICN,Unknown,13321517.589079203
ICN,석탄,43877600.52438619
JBD,태양광,9438441.521777375
JBD,풍력,88850.91367573896
JBD,LNG,718.0
JBD,Unknown,8537847.4520568
JJD,태양광,799735.587050778
JJD,풍력,1006977.0216583667
JJD,LNG,16326.139605631359
JND,태양광,11119989.59531367
JND,풍력,1421614.6188118285
JND,LNG,52588.33315746493
JND,원자력,51825600.0
JND,Unknown,8365737.205480893
JND,석탄,5522758.705773976
SEL,태양광,539999.4947364624
SEL,LNG,0.0
SEL,Unknown,18400273.972624797
SJN,태양광,399999.62573072565
SJN,Unknown,1835013.6986297767
USN,태양광,1119998.9520459725
USN,LNG,0.0
USN,원자력,24595200.0
BSN,수소,376027.3972604304
CBD,수소,210575.34246552477
CND,수소,300821.9178085201
DGU,수소,310849.3150686577
DJN,수소,180493.15068511205
GBD,수소,290794.5205483823
GGD,수소,952602.739721856
GND,수소,360986.3013702241
GWD,수소,190520.54794524962
GWJ,수소,205561.64383545605
ICN,수소,396082.19178070547
JBD,수소,235643.83561674718
JJD,수소,65178.0821917728
JJD,Unknown,2175945.2054779674
JND,수소,240657.53424681604
SEL,수소,551506.8493154735
SJN,수소,55150.684931547374
USN,수소,290794.5205483823
USN,Unknown,9696493.150695363
