선로명,시작지역,종료지역,조류(MW),용량(MVA),이용률(%)
BSN_GND,부산광역시,경상남도,401.5469272556896,5000.0,8.030938545113791
BSN_USN,부산광역시,울산광역시,-426.2463538511743,5000.0,8.524927077023486
DGU_GBD,대구광역시,경상북도,-3296.3862707623452,5000.0,65.92772541524691
DGU_GND,대구광역시,경상남도,-450.28331869158967,5000.0,9.005666373831794
ICN_SEL,인천광역시,서울특별시,39.360923366506114,5000.0,0.7872184673301222
GWJ_JND,광주광역시,전라남도,-1502.3055896370681,5000.0,30.046111792741364
GWJ_JBD,광주광역시,전라북도,-993.6755419128518,5000.0,19.873510838257037
DJN_SJN,대전광역시,SJN,-386.51541657736425,5000.0,7.730308331547285
GGD_SEL,경기도,서울특별시,3879.2936372329755,5000.0,77.58587274465951
GGD_ICN,경기도,인천광역시,3839.932713866469,5000.0,76.79865427732938
GGD_GWD,경기도,강원도,1634.6486671527175,5000.0,32.69297334305435
CBD_GGD,충청북도,경기도,-2247.5837539615104,5000.0,44.951675079230206
CBD_GWD,충청북도,강원도,-612.9350868087927,5000.0,12.258701736175853
CBD_GBD,충청북도,경상북도,-416.4473897964621,5000.0,8.328947795929242
CBD_CND,충청북도,충청남도,747.0830446393024,5000.0,14.941660892786048
CBD_DJN,충청북도,대전광역시,1286.375742703803,5000.0,25.727514854076063
CBD_SJN,충청북도,SJN,899.860326126439,5000.0,17.99720652252878
CND_GGD,충청남도,경기도,-2994.666798600813,5000.0,59.89333597201626
CND_JBD,충청남도,전라북도,1667.7660875632196,5000.0,33.35532175126439
CND_SJN,충청남도,SJN,152.77728148713635,5000.0,3.055545629742727
CND_DJN,충청남도,대전광역시,539.2926980645007,5000.0,10.785853961290014
JBD_JND,전라북도,전라남도,-508.63004772421624,5000.0,10.172600954484325
GBD_GWD,경상북도,강원도,-196.48769701233007,5000.0,3.9297539402466013
GBD_GND,경상북도,경상남도,2846.1029520707552,5000.0,56.92205904141511
GBD_USN,경상북도,울산광역시,2018.3096709638914,5000.0,40.36619341927783
GND_JBD,경상남도,전라북도,-14.806430071771063,5000.0,0.2961286014354213
GND_JND,경상남도,전라남도,-523.4364777959873,5000.0,10.468729555919747
GND_USN,경상남도,울산광역시,-827.793281106864,5000.0,16.55586562213728
JJD_JND,제주특별자치도,전라남도,-732.4923403929366,2000.0,36.624617019646834
