선로명,시작버스,종료버스,평균조류(MW),용량(MVA),이용률(%)
BSN_GND,BSN_EL,GND_EL,660.1184931818761,5000.0,13.202369863637523
BSN_USN,BSN_EL,USN_EL,-720.525392493114,5000.0,14.410507849862281
DGU_GBD,DGU_EL,GBD_EL,-1626.5984987143197,5000.0,32.5319699742864
DGU_GND,DGU_EL,GND_EL,-915.6872781837353,5000.0,18.313745563674708
ICN_SEL,ICN_EL,SEL_EL,-281.65345392394346,5000.0,5.6330690784788695
GWJ_JND,GWJ_EL,JND_EL,-2218.1917715585855,5000.0,44.36383543117171
GWJ_JBD,GWJ_EL,JBD_EL,714.2121513442593,5000.0,14.284243026885186
DJN_SJN,DJN_EL,SJN_EL,-188.19911608675392,5000.0,3.7639823217350785
GGD_SEL,GGD_EL,SEL_EL,296.98527287189626,5000.0,5.939705457437925
GGD_ICN,GGD_EL,ICN_EL,578.6387267958394,5000.0,11.572774535916787
GGD_GWD,GGD_EL,GWD_EL,-2083.0051867911952,5000.0,41.6601037358239
CBD_GGD,CBD_EL,GGD_EL,971.7637192079379,5000.0,19.435274384158756
CBD_GWD,CBD_EL,GWD_EL,-1111.2414675832574,5000.0,22.22482935166515
CBD_GBD,CBD_EL,GBD_EL,-4922.246587677824,5000.0,98.44493175355649
CBD_CND,CBD_EL,CND_EL,2697.3124040158473,5000.0,53.94624808031695
CBD_DJN,CBD_EL,DJN_EL,1642.4768540642872,5000.0,32.849537081285746
CBD_SJN,CBD_EL,SJN_EL,1454.2777379775332,5000.0,29.085554759550664
CND_GGD,CND_EL,GGD_EL,-1725.5486848079095,5000.0,34.51097369615819
CND_JBD,CND_EL,JBD_EL,-4782.740077854552,5000.0,95.65480155709103
CND_SJN,CND_EL,SJN_EL,-1243.0346660383143,5000.0,24.860693320766288
CND_DJN,CND_EL,DJN_EL,-1054.8355499515603,5000.0,21.096710999031206
JBD_JND,JBD_EL,JND_EL,-2932.4039229028444,5000.0,58.64807845805689
GBD_GWD,GBD_EL,GWD_EL,3811.0051200945672,5000.0,76.22010240189134
GBD_GND,GBD_EL,GND_EL,710.9112205305843,5000.0,14.218224410611684
GBD_USN,GBD_EL,USN_EL,-669.7326651444057,5000.0,13.394653302888116
GND_JBD,GND_EL,JBD_EL,2125.907693308535,5000.0,42.51815386617069
GND_JND,GND_EL,JND_EL,-806.4962295943094,5000.0,16.129924591886187
GND_USN,GND_EL,USN_EL,-1380.6438856749903,5000.0,27.612877713499806
JJD_JND,JJD_EL,JND_EL,4.024258606976954,2000.0,0.2012129303488477
