발전기명,총발전량(MWh)
GBD_Nuclear,100092000.0
DJN_H2_Fallback_Gen,59535616.44004001
JND_Nuclear,51802000.0
DGU_H_Fallback_Gen,42753942.26758717
BSN_Nuclear,39949000.0
CND_H_Fallback_Gen,38968767.11991999
BSN_H2_Fallback_Gen,32473289.384738453
CBD_WT,32037911.48658261
GND_H2_Fallback_Gen,31762351.60102
CBD_H2_Fallback_Gen,31391506.85148001
GBD_H_Fallback_Gen,28564608.692674756
DJN_H_Fallback_Gen,25979178.085800007
DGU_H2_Fallback_Gen,25297650.419711508
USN_Nuclear,24584000.0
BSN_H_Fallback_Gen,22731780.822880004
CND_H2_Fallback_Gen,20566849.311339997
CBD_H_Fallback_Gen,19484383.559959996
ICN_H_Fallback_Gen,18384684.781389687
GBD_H2_Fallback_Gen,11578425.02769996
GGD_H2_Fallback_Gen,10363607.30766
