발전기명,총발전량(MWh)
GBD_Nuclear,55518395.308178246
GGD_H_Fallback_Gen,10419120.482216928
GGD_Hydro,2415600.0
GND_Hydro,1273680.0
GGD_H2_Fallback_Gen,752262.5571019999
CND_Hydro,169888.93251620478
DJN_H_Fallback_Gen,0.0
GND_LNG_Fallback_Gen,0.0
GND_H_Fallback_Gen,0.0
GND_H2_Fallback_Gen,0.0
GGD_LNG_Fallback_Gen,0.0
GBD_LNG_Fallback_Gen,0.0
GBD_H_Fallback_Gen,0.0
GBD_H2_Fallback_Gen,0.0
DJN_LNG_Fallback_Gen,0.0
DJN_H2_Fallback_Gen,0.0
GWD_H_Fallback_Gen,0.0
DGU_LNG_Fallback_Gen,0.0
DGU_H_Fallback_Gen,0.0
DGU_H2_Fallback_Gen,0.0
