선로명,시작지역,종료지역,조류(MW),용량(MVA),이용률(%)
GWD_GGD1,강원도,경기도,0,10000.0,0.0
GWD_GGD2,강원도,경기도,0,10000.0,0.0
GWD_GGD3,강원도,경기도,0,10000.0,0.0
GWD_GBD1,강원도,경상북도,0,10000.0,0.0
GWD_GBD2,강원도,경상북도,0,10000.0,0.0
GWD_GBD3,강원도,경상북도,0,10000.0,0.0
GWD_CBD1,강원도,충청북도,0,10000.0,0.0
GWD_CBD2,강원도,충청북도,0,10000.0,0.0
GGD_SEL1,경기도,서울특별시,0,10000.0,0.0
GGD_SEL2,경기도,서울특별시,0,10000.0,0.0
GGD_ICN,경기도,인천광역시,0,10000.0,0.0
GGD_ICN1,경기도,인천광역시,0,10000.0,0.0
GGD_ICN2,경기도,인천광역시,0,10000.0,0.0
GGD_CND1,경기도,충청남도,0,10000.0,0.0
GGD_CND2,경기도,충청남도,0,10000.0,0.0
GGD_CND3,경기도,충청남도,0,10000.0,0.0
GGD_CBD1,경기도,충청북도,0,10000.0,0.0
GGD_CBD2,경기도,충청북도,0,10000.0,0.0
GGD_CBD3,경기도,충청북도,0,10000.0,0.0
GND_GBD1,경상남도,경상북도,0,10000.0,0.0
GND_GBD2,경상남도,경상북도,0,10000.0,0.0
GND_GBD3,경상남도,경상북도,0,10000.0,0.0
GND_DGU1,경상남도,대구광역시,0,10000.0,0.0
GND_DGU2,경상남도,대구광역시,0,10000.0,0.0
GND_BSN1,경상남도,부산광역시,0,10000.0,0.0
GND_BSN2,경상남도,부산광역시,0,10000.0,0.0
GND_BSN3,경상남도,부산광역시,0,10000.0,0.0
GND_USN1,경상남도,울산광역시,0,10000.0,0.0
GND_USN2,경상남도,울산광역시,0,10000.0,0.0
GND_USN3,경상남도,울산광역시,0,10000.0,0.0
GND_JND1,경상남도,전라남도,0,10000.0,0.0
GND_JND2,경상남도,전라남도,0,10000.0,0.0
GND_JBD2,경상남도,전라북도,0,10000.0,0.0
GBD_DGU1,경상북도,대구광역시,0,10000.0,0.0
GBD_DGU2,경상북도,대구광역시,0,10000.0,0.0
GBD_BSN3,경상북도,부산광역시,0,10000.0,0.0
GBD_USN1,경상북도,울산광역시,0,10000.0,0.0
GBD_USN2,경상북도,울산광역시,0,10000.0,0.0
GBD_USN3,경상북도,울산광역시,0,10000.0,0.0
GBD_CBD1,경상북도,충청북도,0,10000.0,0.0
GBD_CBD2,경상북도,충청북도,0,10000.0,0.0
GWJ_JND1,광주광역시,전라남도,0,10000.0,0.0
GWJ_JND2,광주광역시,전라남도,0,10000.0,0.0
GWJ_JBD1,광주광역시,전라북도,0,10000.0,0.0
GWJ_JBD2,광주광역시,전라북도,0,10000.0,0.0
DJN_SJN1,대전광역시,SJN,0,10000.0,0.0
DJN_SJN2,대전광역시,SJN,0,10000.0,0.0
DJN_CND1,대전광역시,충청남도,0,10000.0,0.0
DJN_CND2,대전광역시,충청남도,0,10000.0,0.0
DJN_CBD1,대전광역시,충청북도,0,10000.0,0.0
DJN_CBD2,대전광역시,충청북도,0,10000.0,0.0
BSN_USN1,부산광역시,울산광역시,0,10000.0,0.0
BSN_USN2,부산광역시,울산광역시,0,10000.0,0.0
BSN_USN3,부산광역시,울산광역시,0,10000.0,0.0
SJN_CND1,SJN,충청남도,0,10000.0,0.0
SJN_CND3,SJN,충청남도,0,10000.0,0.0
SJN_CBD1,SJN,충청북도,0,10000.0,0.0
SJN_CBD2,SJN,충청북도,0,10000.0,0.0
SJN_CBD3,SJN,충청북도,0,10000.0,0.0
JND_JBD1,전라남도,전라북도,0,10000.0,0.0
JND_JBD2,전라남도,전라북도,0,10000.0,0.0
JND_JJD1,전라남도,제주특별자치도,0,10000.0,0.0
JND_JJD2,전라남도,제주특별자치도,0,10000.0,0.0
JBD_CND1,전라북도,충청남도,0,10000.0,0.0
JBD_CND2,전라북도,충청남도,0,10000.0,0.0
JBD_CBD2,전라북도,충청북도,0,10000.0,0.0
CND_CBD1,충청남도,충청북도,0,10000.0,0.0
CND_CBD2,충청남도,충청북도,0,10000.0,0.0
CND_CBD3,충청남도,충청북도,0,10000.0,0.0
