발전기명,총발전량(MWh)
CND_Coal,152364216.15640825
GBD_Nuclear,100137600.0
GWD_Coal,66971135.82886626
JND_Nuclear,51825600.0
GND_Coal,51438316.34401634
BSN_Nuclear,39967200.0
USN_Nuclear,24595200.0
ICN_Coal,24233479.046176255
GGD_LNG_Fuel_Supply,13566072.188544048
JND_PV,11119989.59531367
JBD_PV,9439991.167244786
GBD_PV,7179993.281866399
CND_PV,6359994.049118115
DGU_LNG_Fuel_Supply,6157894.362327384
CND_LNG_Fuel_Supply,5235264.0
GWD_Hydro,4611600.0
CBD_Hydro,4550112.0
GWD_PV,4399995.883037877
CBD_PV,4279995.995318666
GGD_PV,4079996.1824532677
