발전원,총발전량(MWh)
태양광,61599942.36252941
풍력,6545350.640779454
LNG,84905338.97205678
원자력,173220480.0
석탄,286682126.44948614
수력,14237985.599999998
수소,337722.7398624
열,96981424.57725118
Unknown,0.0
