final_energy,technology,supply_MWh
수소,수소,337722.7398624
수소,전해조,4934534.329320932
열,CHP,33424876.799999997
열,기타,43555279.92171001
열,열,96981424.5772512
전력,CHP,41781096.0
전력,LNG,1343146.9720567688
전력,석탄,286682126.4494861
전력,수력,14237985.599999998
전력,원자력,173220480.0
전력,태양광,61599942.36252942
전력,풍력,6545350.640779454
