snapshot,BSN_ESS,BSN_H2_Storage,BSN_H_Storage,CBD_ESS,CBD_H2_Storage,CBD_H_Storage,CND_ESS,CND_H2_Storage,CND_H_Storage,DGU_ESS,DGU_H2_Storage,DGU_H_Storage,DJN_ESS,DJN_H2_Storage,DJN_H_Storage,GBD_ESS,GBD_H2_Storage,GBD_H_Storage,GBD_Pumped ,GGD_ESS,GGD_H2_Storage,GGD_H_Storage,GGD_Pumped ,GND_ESS,GND_H2_Storage,GND_H_Storage,GND_Pumped ,GWD_ESS,GWD_H2_Storage,GWD_H_Storage,GWD_Pumped ,GWJ_ESS,GWJ_H2_Storage,GWJ_H_Storage,ICN_ESS,ICN_H2_Storage,ICN_H_Storage,JBD_ESS,JBD_H2_Storage,JBD_H_Storage,JBD_Pumped ,JJD_ESS,JJD_H2_Storage,JJD_H_Storage,JND_ESS,JND_H2_Storage,JND_H_Storage,SEL_ESS,SEL_H2_Storage,SEL_H_Storage,SJN_ESS,SJN_H2_Storage,SJN_H_Storage,USN_ESS,USN_H2_Storage,USN_H_Storage
2024-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02 02:00:00,0.0,-27.191780819999998,0.0,0.0,-46.02739726,0.0,-6218.474300848016,0.0,0.0,0.0,0.0,0.0,0.0,-49.45205479,0.0,0.0,-36.89497717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.173515980000005,0.0,0.0,0.0,-46.12127361237331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.754789529269843,-91.0958904,0.0,-36.89497717,0.0
2024-01-02 03:00:00,0.0,-27.191780819999998,0.0,0.0,-46.02739726,0.0,6156.289557839536,0.0,0.0,0.0,-34.61187215,0.0,-5981.153801542582,20.54794521,0.0,0.0,-36.89497717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.904109589999997,0.0,0.0,0.0,-48.31050228,0.0,0.0,0.0,-46.59817352,0.0,-4000.0,-17.381574286955388,0.0,-2000.0,-39.374494871934075,0.0,-600.0,0.0,7.420091324,-46.01600541698154,0.0,-42.602739729999996,0.0,0.0,-7.214611869999999,0.0,0.0,6.278538813,-68.11272444048741,0.0,-36.89497717,0.0
2024-01-02 04:00:00,0.0,-27.191780819999998,0.0,0.0,23.97260274,0.0,0.0,-35.75342466,0.0,0.0,-34.61187215,0.0,5921.342263527156,-34.77207973856099,0.0,0.0,-36.89497717,0.0,0.0,0.0,0.0,0.0,0.0,-4000.0,-28.904109589999997,0.0,-1300.0,-2593.6165559820674,21.68949772,0.0,-1000.0,-4000.0,-46.59817352,0.0,-40.0,-24.908675799999997,0.0,1980.0,26.82648402,0.0,594.0,0.0,7.420091324,-52.283105000000006,0.0,-42.602739729999996,0.0,0.0,-7.214611869999999,0.0,0.0,6.278538813,-91.0958904,0.0,5.470188633728085,0.0
2024-01-02 05:00:00,0.0,20.339358529425475,0.0,0.0,23.97260274,0.0,0.0,-35.75342466,0.0,0.0,-34.61187215,0.0,0.0,20.54794521,0.0,0.0,33.10502283,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,1.8559112802598605,0.0,-13.0,415.31801246053874,-18.161945393076607,0.0,990.0,3960.0,20.169714788313,0.0,-40.0,-24.908675799999997,0.0,-2000.0,26.82648402,0.0,-600.0,0.0,7.420091324,-52.283105000000006,0.0,27.39726027,0.0,0.0,-7.214611869999999,0.0,-4000.0,6.278538813,-91.0958904,0.0,33.10502283,0.0
2024-01-02 06:00:00,0.0,42.80821918,0.0,0.0,-7.028446887092976,0.0,0.0,34.24657534,0.0,0.0,35.38812785,0.0,0.0,20.54794521,0.0,-4650.7047573275895,33.10502283,0.0,0.0,0.0,0.0,0.0,0.0,3960.0,-28.904109589999997,0.0,1287.0,2130.8387541820907,21.68949772,0.0,0.0,0.0,23.40182648,0.0,-40.0,45.0913242,0.0,1980.0,26.82648402,0.0,594.0,0.0,7.420091324,-52.283105000000006,0.0,0.3415173976075252,0.0,0.0,-7.214611869999999,0.0,-40.0,6.278538813,-91.0958904,0.0,33.10502283,0.0
2024-01-02 07:00:00,0.0,-27.191780819999998,0.0,0.0,23.97260274,0.0,0.0,1.236833773404996,0.0,0.0,29.975156857039323,0.0,0.0,20.54794521,0.0,4604.197709754314,7.6674610141915664,0.0,0.0,0.0,0.0,0.0,0.0,-71.85091677422315,41.09589041,0.0,-1300.0,0.0,21.68949772,0.0,0.0,0.0,23.40182648,0.0,-40.0,-24.908675799999997,0.0,0.0,-27.097458606060606,0.0,0.0,0.0,7.420091324,-52.283105000000006,0.0,27.39726027,0.0,0.0,-7.214611869999999,0.0,3960.0,-6.341958396969697,208.9041096,0.0,-33.439417000000006,0.0
2024-01-02 08:00:00,0.0,42.80821918,0.0,0.0,23.97260274,0.0,0.0,34.24657534,0.0,0.0,35.38812785,0.0,0.0,0.0,0.0,0.0,33.10502283,0.0,0.0,0.0,0.0,0.0,0.0,71.13240760648092,41.09589041,0.0,1287.0,0.0,0.0,0.0,0.0,0.0,23.40182648,0.0,3960.0,45.0913242,0.0,0.0,26.82648402,0.0,0.0,0.0,7.420091324,247.716895,0.0,27.39726027,0.0,0.0,35.00518900621719,0.0,0.0,6.278538813,208.9041096,0.0,33.10502283,0.0
2024-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
