지역,발전량(GWh),재생에너지(GWh),부하량(GWh),밸런스(GWh),재생에너지비율(%)
SEL,16642.77020340846,539.9994947364623,78493.92548047012,-61851.155277061654,3.2446491067086276
ICN,20771.218779136525,2399.9977543842283,56374.27749398305,-35603.05871484652,11.554438764059844
GGD,68065.8122961478,4257.6980098047525,135574.94728167175,-67509.13498552394,6.255266581231586
GWD,39880.7014170471,6147.397185327412,27116.994926106985,12763.706490940112,15.414466062273652
CBD,12857.953188426402,4368.846908994405,29974.054238796714,-17116.101050370315,33.977778927729
CND,57006.82264870714,6389.611020343362,42815.78002741749,14191.042621289647,11.2085022870298
DJN,4998.011913625276,899.9991578940765,25683.4515755726,-20685.439661947326,18.007143109054095
SJG,0.0,0.0,0.0,0.0,0.0
JBD,17722.880172538124,9528.842080920525,33537.857824368664,-15814.977651830539,53.76576486527067
JND,64200.41024708864,12541.604214125498,34254.62950398241,29945.780743106232,19.535084224316517
GWJ,6229.634416012693,1399.9986900574934,29257.282559095118,-23027.648143082424,22.47320784120056
GBD,98183.41494154047,8749.692756804461,41382.23668039671,56801.17826114376,8.911579172525348
DGU,13530.922060074623,2039.9980912266265,44239.29598167027,-30708.373921595645,15.076563756478956
GND,36485.32108471973,4065.7831840598733,51376.93054733897,-14891.609462619237,11.143613549731503
BSN,237589.4591154236,1488.8496037332322,53517.21818392855,184072.24093149506,0.6266480041986764
USN,28115.165767765455,1119.9989520459724,41382.23668039671,-13267.07091263125,3.9836114120659802
JJD,1829.8734645725874,1806.976273119769,9277.92220220557,-7448.04873763298,98.74870083117105
