region,final_energy,technology,supply_MWh
BSN,수소,전해조,380098.1173399518
BSN,열,CHP,66758.39999999998
BSN,열,기타,2635200.0
BSN,열,열,9842315.574528
BSN,전력,CHP,83448.0
BSN,전력,LNG,187531.9766750672
BSN,전력,석탄,193930105.9604873
BSN,전력,원자력,31973760.0
BSN,전력,태양광,1399998.6900574933
BSN,전력,풍력,88850.91367573896
CBD,수소,전해조,214569.237818586
CBD,열,기타,2635200.0
CBD,열,열,4394005.479431999
CBD,전력,수력,4095100.799999999
CBD,전력,태양광,4279995.995318666
CBD,전력,풍력,88850.91367573896
CND,수소,전해조,305161.89331679733
CND,열,CHP,2094105.6000000006
CND,열,기타,2635200.0
CND,열,열,5308119.058176
CND,전력,CHP,2617632.0
CND,전력,LNG,35182.74281484987
CND,전력,석탄,39785666.62737292
CND,전력,수력,252979.20000000007
CND,전력,태양광,6359994.049118115
CND,전력,풍력,29616.971225246423
DGU,수소,전해조,315231.43325370323
DGU,열,CHP,2505196.7999999993
DGU,열,기타,2635200.0
DGU,열,열,5227931.968847998
DGU,전력,CHP,3131496.0
DGU,전력,태양광,2039998.0912266264
DJN,수소,전해조,184152.77159721887
DJN,열,CHP,477849.59999999986
DJN,열,기타,2635200.0
DJN,열,열,2903388.7557312
DJN,전력,CHP,597312.0
DJN,전력,태양광,899999.1578940764
GBD,수소,전해조,295178.496733699
GBD,열,CHP,548121.5999999999
GBD,열,기타,2635200.0
GBD,열,열,6513171.554735998
GBD,전력,CHP,685152.0
GBD,전력,LNG,25064.229999999996
GBD,전력,수력,1415102.3999999997
GBD,전력,원자력,80110080.0
GBD,전력,태양광,7179993.281866399
GBD,전력,풍력,1569699.4749380618
GGD,수소,수소,337722.7398624
GGD,수소,전해조,614880.0
GGD,열,CHP,21232684.799999997
GGD,열,기타,2635200.0
GGD,열,열,7908937.120655995
GGD,전력,CHP,26540856.0
GGD,전력,LNG,305702.4258246394
GGD,전력,수력,2174040.0
GGD,전력,태양광,4079996.1824532677
GGD,전력,풍력,177701.82735148483
GND,수소,전해조,365173.8374205734
GND,열,CHP,509472.0
GND,열,기타,2635200.0
GND,열,열,8898232.107743997
GND,전력,CHP,636840.0
GND,전력,LNG,81404.02090515835
GND,전력,석탄,21019909.772010706
GND,전력,수력,1146312.0
GND,전력,태양광,3739996.500582159
GND,전력,풍력,325786.68347771425
GWD,수소,전해조,194263.30779722458
GWD,열,CHP,1514361.6000000006
GWD,열,기타,2635200.0
GWD,열,열,2207808.2626847997
GWD,전력,CHP,1892952.0
GWD,전력,LNG,84494.72
GWD,전력,석탄,23504657.249034885
GWD,전력,수력,4150440.0
GWD,전력,태양광,4399995.883037877
GWD,전력,풍력,1747401.302289535
GWJ,수소,전해조,209540.01817735643
GWJ,열,CHP,404064.0
GWJ,열,기타,2635200.0
GWJ,열,열,3819475.7259552
GWJ,전력,CHP,505080.0
GWJ,전력,태양광,1399998.6900574933
ICN,수소,전해조,399964.9050310701
ICN,열,CHP,1187596.8
ICN,열,기타,2635200.0
ICN,열,열,9393312.78864
ICN,전력,CHP,1484496.0
ICN,전력,LNG,220354.07553201873
ICN,전력,석탄,5693694.960580274
ICN,전력,수력,94867.20000000003
ICN,전력,태양광,2399997.7543842285
JBD,수소,전해조,239840.3749533827
JBD,열,CHP,1563552.0
JBD,열,기타,2635200.0
JBD,열,열,3662727.4516176
JBD,전력,CHP,1954440.0
JBD,전력,LNG,13699.440000000002
JBD,전력,수력,608731.1999999998
JBD,전력,태양광,9439991.167244786
JBD,전력,풍력,88850.91367573896
JJD,수소,전해조,66935.73983601676
JJD,열,기타,2183285.5546878846
JJD,전력,LNG,22897.191452818446
JJD,전력,태양광,799999.2514614023
JJD,전력,풍력,1006977.0216583667
JND,수소,전해조,244838.89574018627
JND,열,CHP,1096243.1999999997
JND,열,기타,2635200.0
JND,열,열,4300502.005094402
JND,전력,CHP,1370304.0
JND,전력,LNG,108711.34786873692
JND,전력,석탄,2748091.88
JND,전력,수력,300412.8
JND,전력,원자력,41460480.0
JND,전력,태양광,11119989.59531367
JND,전력,풍력,1421614.6188118285
SEL,수소,전해조,553115.7290157706
SEL,열,CHP,224870.40000000005
SEL,열,기타,2635200.0
SEL,열,열,15540203.568672001
SEL,전력,CHP,281088.0
SEL,전력,LNG,391.14
SEL,전력,태양광,539999.4947364624
SJN,수소,전해조,56567.8161194526
SJN,열,기타,1843994.3670221232
SJN,전력,태양광,399999.62573072565
USN,수소,전해조,295021.75516994257
USN,열,기타,2635200.0
USN,열,열,7061293.154735999
USN,전력,LNG,257713.66098347987
USN,전력,원자력,19676160.0
USN,전력,태양광,1119998.9520459725
