발전기명,총발전량(MWh)
GGD_WT,220646716.8581847
GBD_Nuclear,100092000.0
JND_Nuclear,51802000.0
BSN_Nuclear,39949000.0
GGD_H_Fallback_Gen,32165135.045221202
SEL_PV,24735822.76911235
USN_Nuclear,24584000.0
SEL_H_Fallback_Gen,18625125.525403805
CND_WT,15706004.060902245
CBD_WT,15620632.329022318
ICN_H_Fallback_Gen,13377610.5978566
JBD_WT,13281849.381596481
BSN_H_Fallback_Gen,12697565.1448732
GND_H_Fallback_Gen,12190068.532666601
GGD_PV,10556899.118225329
DGU_H_Fallback_Gen,10495029.864137797
CND_H_Fallback_Gen,10160082.101400198
GBD_H_Fallback_Gen,9814984.411154397
USN_H_Fallback_Gen,9814984.411154397
JND_H_Fallback_Gen,8130095.666674477
