region,final_energy,technology,supply_MWh
BSN,수소,수소,376027.39727712004
CBD,수소,수소,210575.34246816006
CBD,열,열,1758805.4794320008
CND,수소,수소,300821.91778656
CND,열,열,2131824.658176001
DGU,수소,수소,310849.3150344
DGU,열,열,2462728.7688480015
DJN,수소,수소,180493.15072464
DJN,열,열,746038.3557312
GBD,수소,수소,290794.52053872
GBD,열,열,1790893.154736
GGD,수소,수소,952602.7398624002
GGD,열,열,5424821.920656
GND,수소,수소,360986.30136144004
GND,열,열,1502104.1077440006
GWD,수소,수소,190520.54797248
GWD,열,열,1086969.8626848
GWJ,수소,수소,205561.64380032007
GWJ,열,열,1588339.7259552
ICN,수소,수소,396082.1917728002
ICN,열,열,2675309.5886399997
JBD,수소,수소,235643.83563168003
JJD,수소,수소,65178.082190015986
JND,수소,수소,240657.53421168
JND,열,열,126345.20509440007
SEL,수소,수소,551506.84933392
SJN,수소,수소,55150.68493339198
USN,수소,수소,290794.52053872
