발전기명,총발전량(MWh)
GBD_Nuclear,100092000.0
CBD_H2_Fallback_Gen,87800000.0
DJN_H_Fallback_Gen,60203514.18002753
JND_Nuclear,51802000.0
BSN_Nuclear,39949000.0
BSN_H2_Fallback_Gen,33981856.521308064
BSN_H_Fallback_Gen,32885692.689842146
GND_H_Fallback_Gen,32165135.045221202
CBD_H_Fallback_Gen,31789587.554276206
DGU_H_Fallback_Gen,25603290.630981557
USN_Nuclear,24584000.0
CND_H2_Fallback_Gen,22471949.818864603
CND_H_Fallback_Gen,20827660.806227
CND_WT,14590070.608206378
GWD_H2_Fallback_Gen,13377610.5978566
GBD_H_Fallback_Gen,12642377.506167829
GND_H2_Fallback_Gen,12190068.532666601
GGD_H_Fallback_Gen,10495029.864137797
ICN_H2_Fallback_Gen,9785919.537043918
GWJ_H2_Fallback_Gen,8119668.9149535075
