final_energy,technology,supply_MWh
수소,수소,337722.7398624
수소,전해조,5655732.501658639
열,CHP,33424876.799999997
열,기타,43644495.1772228
열,열,96981424.5772512
전력,CHP,41781096.0
전력,LNG,124160235.37888062
전력,석탄,3781939.688990446
전력,수력,6602831.519401604
전력,원자력,52187956.88498531
전력,태양광,357618752.425335
전력,풍력,5723472.70549881
