지역,발전원,총발전량(MWh)
BSN,태양광,6297411.82684231
BSN,풍력,78693.59204417415
BSN,LNG,166896.0
BSN,원자력,9136068.411854493
CBD,태양광,14317267.360817272
CBD,풍력,77780.39060418642
CBD,수력,1904052.8453869883
CND,태양광,18914624.49499664
CND,풍력,25971.833996282534
CND,LNG,5235264.0
CND,석탄,1592664.276636396
CND,수력,117417.60000000002
DGU,태양광,5434442.126199255
DJN,태양광,5592015.964976326
GBD,태양광,24409253.202218916
GBD,풍력,1358971.686891979
GBD,LNG,1370304.0
GBD,원자력,24944856.21797124
GBD,석탄,0.0
GBD,수력,657216.1513547341
GGD,태양광,19590153.77073521
GGD,풍력,156458.37364616423
GGD,LNG,61102456.2756992
GGD,수력,1007257.302004887
GND,태양광,21849292.3963619
GND,풍력,285681.10842665425
GND,LNG,1273680.0
GND,석탄,824378.732294423
GND,수력,528660.5798286484
GWD,태양광,151773987.2935564
GWD,풍력,1462446.6281145497
GWD,LNG,3785904.0
GWD,석탄,821407.3744705791
GWD,수력,1923604.9454270157
GWJ,태양광,5067031.486493702
ICN,태양광,4407018.27135276
ICN,LNG,2968992.0
ICN,석탄,480566.78015375236
ICN,수력,44042.399999999994
JBD,태양광,26492020.681411292
JBD,풍력,77188.59577243465
JBD,LNG,3908880.0
JBD,수력,281868.2123169715
JJD,태양광,6290016.814966239
JJD,풍력,874384.7509423547
JJD,LNG,0.0
JND,태양광,34051926.7440017
JND,풍력,1325895.7450600304
JND,LNG,2740608.0
JND,원자력,12118340.015547216
JND,석탄,62922.52543529544
JND,수력,138711.48308235922
SEL,태양광,2642882.990488177
SEL,LNG,49869837.800556496
SJN,태양광,6091793.300121764
USN,태양광,4397613.699795148
USN,LNG,0.0
USN,원자력,5988692.239612365
GWJ,LNG,17952416.467914656
SJN,LNG,4511701.20574013
DGU,LNG,30872531.2785933
DJN,LNG,17217162.352211066
CBD,LNG,4745793.998165775
BSN,수소,0.0
BSN,열,9842315.574528
CBD,수소,0.0
CBD,열,4394005.479431999
CND,수소,0.0
CND,열,5308119.058176
DGU,수소,0.0
DGU,열,5227931.968847998
DJN,수소,0.0
DJN,열,2903388.7557312
GBD,수소,0.0
GBD,열,6513171.554735998
GGD,수소,337722.7398624
GGD,열,7908937.120655995
GND,수소,0.0
GND,열,8898232.107743997
GWD,수소,0.0
GWD,열,2207808.2626847997
GWJ,수소,0.0
GWJ,열,3819475.7259552
ICN,수소,0.0
ICN,열,9393312.78864
JBD,수소,0.0
JBD,열,3662727.4516176
JJD,수소,0.0
JJD,열,0.0
JND,수소,0.0
JND,열,4300502.005094402
SEL,수소,0.0
SEL,열,15540203.568672001
SJN,수소,0.0
SJN,열,0.0
USN,수소,0.0
USN,열,7061293.154735999
BSN,Unknown,0.0
CBD,Unknown,0.0
CND,Unknown,0.0
DGU,Unknown,0.0
DJN,Unknown,0.0
GBD,Unknown,0.0
GGD,Unknown,0.0
GND,Unknown,0.0
GWD,Unknown,0.0
GWJ,Unknown,0.0
ICN,Unknown,0.0
JBD,Unknown,0.0
JJD,Unknown,0.0
JND,Unknown,0.0
SEL,Unknown,0.0
SJN,Unknown,0.0
USN,Unknown,0.0
