발전기명,총발전량(MWh)
GWD_PV,151773987.2935564
GGD_LNG_Fuel_Supply,53081712.0
SEL_Backup_LNG,49307661.800556496
JND_PV,34051926.7440017
JBD_PV,26492020.681411292
GBD_Nuclear,24944856.21797124
DGU_Backup_LNG,24609539.2785933
GBD_PV,24409253.202218916
GND_PV,21849292.3963619
GGD_PV,19590153.77073521
CND_PV,18914624.49499664
GWJ_Backup_LNG,16942256.467914656
DJN_Backup_LNG,16022538.352211066
SEL_H_Fallback_Gen,15540203.568672001
CBD_PV,14317267.360817272
JND_Nuclear,12118340.015547216
BSN_H_Fallback_Gen,9842315.574528
ICN_H_Fallback_Gen,9393312.78864
BSN_Nuclear,9136068.411854493
GND_H_Fallback_Gen,8898232.107743997
