지역,발전량(GWh),재생에너지(GWh),부하량(GWh),밸런스(GWh),재생에너지비율(%)
SEL,68052.92435971668,2642.8829904881773,78493.92548047012,-10441.001120753437,3.8835700527993886
ICN,17293.93224014651,4407.018271352759,56374.27749398305,-39080.34525383654,25.483031910592384
GGD,90102.98558260385,19746.612144381375,135574.94728167175,-45471.96169906788,21.915602481649447
GWD,161975.15850425337,153236.43392167095,27116.994926106985,134858.16357814637,94.60489826756185
CBD,25438.900074406218,14395.04775142146,29974.054238796714,-4535.154164390497,56.58675378777147
CND,31194.061263805317,18940.59632899292,42815.78002741749,-11621.718763612169,60.71859694322593
DJN,25712.56707291859,5592.015964976325,25683.4515755726,29.115497345991432,21.7481823153552
SJG,0.0,0.0,0.0,0.0,0.0
JBD,34422.6849411183,26569.209277183727,33537.857824368664,884.8271167496368,77.18517402878848
JND,54738.906518221,35377.82248906173,34254.62950398241,20484.277014238596,64.63012277617469
GWJ,26838.923680363558,5067.031486493702,29257.282559095118,-2418.35887873156,18.879413894682173
GBD,59253.77281317287,25768.224889110897,41382.23668039671,17871.536132776164,43.487905774975886
DGU,41534.905373640555,5434.442126199255,44239.29598167027,-2704.3906080297156,13.084036372087498
GND,33659.924924655614,22134.97350478855,51376.93054733897,-17717.005622683355,65.76061460129658
BSN,25521.385405268975,6376.105418886484,53517.21818392855,-27995.832778659576,24.983382828308827
USN,17447.59909414351,4397.613699795148,41382.23668039671,-23934.637586253197,25.204692497039655
JJD,7164.401565908594,7164.401565908594,9277.92220220557,-2113.5206362969743,100.0
