발전기명,총발전량(MWh)
GBD_Nuclear,100137600.0
CND_Coal,84135339.7157665
GND_Coal,64988088.80643397
JND_Nuclear,51825600.0
ICN_Coal,43897252.04801739
BSN_Nuclear,39967200.0
GWD_Coal,34024616.76878881
GGD_H_Fallback_Gen,31776821.91784511
ICN_LNG,27561958.273478508
USN_Nuclear,24595200.0
SEL_H_Fallback_Gen,18400273.972624797
ICN_H_Fallback_Gen,13216109.589079203
BSN_H_Fallback_Gen,12544273.972595517
GND_H_Fallback_Gen,12042904.109588636
JND_PV,11119989.59531367
DGU_H_Fallback_Gen,10368328.7670912
CND_H_Fallback_Gen,10037424.657561125
GBD_H_Fallback_Gen,9696493.150695363
USN_H_Fallback_Gen,9696493.150695363
JBD_PV,9438443.160835167
