선로명,시작버스,종료버스,평균조류(MW),용량(MVA),이용률(%)
BSN_GND,BSN_EL,GND_EL,-88.02853526077595,5000.0,1.760570705215519
BSN_USN,BSN_EL,USN_EL,188.00021093497475,5000.0,3.760004218699495
DGU_GBD,DGU_EL,GBD_EL,-1748.141258914153,5000.0,34.962825178283055
DGU_GND,DGU_EL,GND_EL,-1841.5971804884332,5000.0,36.831943609768665
ICN_SEL,ICN_EL,SEL_EL,3423.067529257743,5000.0,68.46135058515486
GWJ_JND,GWJ_EL,JND_EL,-2158.628489266323,5000.0,43.17256978532646
GWJ_JBD,GWJ_EL,JBD_EL,-209.0930280729714,5000.0,4.181860561459428
DJN_SJN,DJN_EL,SJN_EL,-370.9103504257565,5000.0,7.418207008515131
GGD_SEL,GGD_EL,SEL_EL,3293.9344249822166,5000.0,65.87868849964434
GGD_ICN,GGD_EL,ICN_EL,-129.1331042755261,5000.0,2.5826620855105222
GGD_GWD,GGD_EL,GWD_EL,-4956.428075596462,5000.0,99.12856151192923
CBD_GGD,CBD_EL,GGD_EL,4009.157710561822,5000.0,80.18315421123644
CBD_GWD,CBD_EL,GWD_EL,-947.2703650346384,5000.0,18.945407300692768
CBD_GBD,CBD_EL,GBD_EL,-4090.8324856591507,5000.0,81.81664971318301
CBD_CND,CBD_EL,CND_EL,-958.9838497636334,5000.0,19.17967699527267
CBD_DJN,CBD_EL,DJN_EL,393.028817078955,5000.0,7.860576341579099
CBD_SJN,CBD_EL,SJN_EL,22.11846665319841,5000.0,0.44236933306396825
CND_GGD,CND_EL,GGD_EL,4968.141560325456,5000.0,99.36283120650913
CND_JBD,CND_EL,JBD_EL,-1615.6355363715843,5000.0,32.312710727431686
CND_SJN,CND_EL,SJN_EL,981.1023164168321,5000.0,19.622046328336644
CND_DJN,CND_EL,DJN_EL,1352.0126668425885,5000.0,27.040253336851773
JBD_JND,JBD_EL,JND_EL,-1949.535461193351,5000.0,38.99070922386702
GBD_GWD,GBD_EL,GWD_EL,3143.562120624512,5000.0,62.87124241249023
GBD_GND,GBD_EL,GND_EL,-93.4559215742804,5000.0,1.8691184314856077
GBD_USN,GBD_EL,USN_EL,182.57282462147026,5000.0,3.651456492429405
GND_JBD,GND_EL,JBD_EL,1609.6690210982129,5000.0,32.19338042196426
GND_JND,GND_EL,JND_EL,-339.8664400951383,5000.0,6.797328801902766
GND_USN,GND_EL,USN_EL,276.0287461957507,5000.0,5.520574923915015
JJD_JND,JJD_EL,JND_EL,-593.5411825967022,2000.0,29.677059129835108
