지역,발전원,총발전량(MWh)
BSN,태양광,355906.4278625257
BSN,풍력,70958.42521904029
BSN,LNG,0.0
BSN,원자력,39949000.0
BSN,Unknown,32473960.237654913
CBD,태양광,876646.5909104832
CBD,풍력,748355.4981492448
CBD,Unknown,35939546.85148001
CND,태양광,1082082.4915771142
CND,풍력,13935886.168917328
CND,LNG,0.0
CND,Unknown,20847809.311339997
CND,석탄,41556.27962935176
DGU,태양광,65862.0010021095
DGU,Unknown,25214458.82121147
DJN,태양광,31219.467240359147
DJN,Unknown,59360493.945957325
GBD,태양광,1663665.7565424307
GBD,풍력,682795.1353304405
GBD,LNG,0.0
GBD,원자력,100092000.0
GBD,Unknown,14104235.038054839
GBD,석탄,63744.81376709846
GGD,태양광,218415.76505911464
GGD,풍력,50476.77515954261
GGD,LNG,0.0
GGD,Unknown,12778107.30766
GND,태양광,310928.41015111323
GND,풍력,242239.3719589301
GND,LNG,0.0
GND,Unknown,33035451.60102
GND,석탄,420631.1775955693
GWD,태양광,222729.35979683613
GWD,풍력,1325351.1328791324
GWD,LNG,0.0
GWD,Unknown,11465116.438284
GWD,석탄,807545.9250640175
GWJ,태양광,161871.98613141087
GWJ,Unknown,2174658.94215968
ICN,태양광,108959.07182279852
ICN,LNG,0.0
ICN,Unknown,1930973.0137944005
ICN,석탄,13738.886312379327
JBD,태양광,999094.8861441588
JBD,풍력,44792.92640803989
JBD,LNG,0.0
JBD,Unknown,871806.2896232688
JJD,태양광,222432.82410215316
JJD,풍력,792469.5818493289
JJD,LNG,0.0
JND,태양광,308863.5953318616
JND,풍력,421468.4044169814
JND,LNG,0.0
JND,원자력,51802000.0
JND,Unknown,694461.9177998
JND,석탄,67666.70270247452
SEL,태양광,45270.96115090105
SEL,LNG,0.0
SEL,Unknown,395901.82647600013
SJN,태양광,12036.272495438016
SJN,Unknown,236520.54791091
USN,태양광,545405.6835606714
USN,LNG,0.0
USN,원자력,24584000.0
BSN,수소,33556428.586525775
CBD,수소,87800000.0
CND,수소,22190547.9428
DGU,수소,6454897.565881581
DJN,수소,5550354.951573985
GBD,수소,7024207.930307874
GGD,수소,6013698.629703998
GND,수소,12037420.089479998
GWD,수소,13210091.323800003
GWJ,수소,8027229.747775222
ICN,수소,9646818.497180996
JBD,수소,279520.54792508
JJD,수소,268084.47487734
JJD,Unknown,166397.26031057996
JND,수소,190433.7899816
SEL,수소,235536.52969560004
SJN,수소,542026.2557262899
USN,수소,0.0
USN,Unknown,290662.1004474
