발전기명,총발전량(MWh)
GBD_Nuclear,100092000.0
CBD_H2_Fallback_Gen,87800000.0
DJN_H_Fallback_Gen,59360493.945957325
JND_Nuclear,51802000.0
BSN_Nuclear,39949000.0
BSN_H2_Fallback_Gen,33556428.586525775
BSN_H_Fallback_Gen,32473960.237654913
GND_H_Fallback_Gen,31762351.60102
CBD_H_Fallback_Gen,31391506.85148001
DGU_H_Fallback_Gen,25214458.82121147
USN_Nuclear,24584000.0
CND_H2_Fallback_Gen,22190547.9428
CND_H_Fallback_Gen,20566849.311339997
CND_WT,13935886.168917328
GWD_H2_Fallback_Gen,13210091.323800003
GBD_H_Fallback_Gen,12532615.038054839
GND_H2_Fallback_Gen,12037420.089479998
GGD_H_Fallback_Gen,10363607.30766
ICN_H2_Fallback_Gen,9646818.497180996
GWJ_H2_Fallback_Gen,8027229.747775222
