지역,발전량(GWh),재생에너지(GWh),부하량(GWh),밸런스(GWh),재생에너지비율(%)
SEL,44013.18592016904,23873.86536974627,78485.75425776036,-34472.56833759132,54.242529529783646
ICN,22985.01367344609,4448.408340508897,56368.40891473394,-33383.39524128785,19.3535161810585
GGD,263745.38115745614,228614.3337551267,135560.83397419838,128184.54718325776,86.6799383374391
GWD,19812.567677032464,1818.8307886484804,27114.172036302796,-7301.6043592703345,9.180187133225257
CBD,26928.124900787716,15143.600882540513,29970.933902288238,-3042.8090015005246,56.237116168818446
CND,30645.32370502236,15690.27918189839,42811.32289307081,-12165.999188048449,51.19958703300289
DJN,6272.978920220575,78.8693315727768,25680.777979896364,-19407.79905967579,1.2572867305283972
SJG,0.0,0.0,0.0,0.0,0.0
JBD,23250.88395323313,14481.387880595526,33534.36653564497,-10283.48258241184,62.28317129672754
JND,62887.013002487394,2148.8225830266474,34251.06356819431,28635.949434293085,3.4169576203939824
GWJ,7342.7068118942625,281.6223371158616,29254.23686965107,-21911.530057756812,3.835402179747513
GBD,115007.9381991385,3304.5784690711043,41377.92884017758,73630.00935896093,2.8733481538893093
DGU,11333.587437530057,659.2723673470565,44234.69069474804,-32901.10325721798,5.816978701412238
GND,14778.0359587388,252.97618692769134,51371.58221443409,-36593.5462556953,1.7118390267422319
BSN,53302.649728334996,439.2319181745973,53511.64705138341,-208.9973230484128,0.824033927793851
USN,34617.15180695707,50.412076889671944,41377.92884017758,-6760.777033220515,0.14562745419032583
JJD,2846.51812469441,606.4153847696899,9276.95635658267,-6430.43823188826,21.30375982885379
